,Unnamed: 0.1,Unnamed: 0,school_type,address,phone_number,fax_number,school_email,management_email,office_email,website,miur_code,school_name,school_id,institute_id,institute_id_number,municipalityISTITUTO,institute_uri,stage
10,10,10,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001011,ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO,29783,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo,TNIS00100P,High School
11,11,11,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO,29784,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo,TNIS00100P,High School
12,12,12,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTL00101B,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,29785,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P,High School
13,13,13,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO,29786,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo,TNIS00100P,High School
14,14,14,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,29787,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P,High School
15,15,15,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO LINGUISTICO,29788,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P,High School
16,16,16,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO SCIENTIFICO,29789,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P,High School
17,17,17,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO DELLE SCIENZE UMANE,65579,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P,High School
18,18,18,Provincial,"Via Calzolari - Localita Fontana, 2",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNEE861018,SCUOLA PRIMARIA BRENTONICO,63289,/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2,Brentonico,TNIC861006,Primary School
19,19,19,Provincial,"Via Calzolari - Localita Fontana, 2",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNMM861017,SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO,65577,/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2,Brentonico,TNIC861006,Middle School
20,20,20,Autonomous Manegement,"Via Conci, 86",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,TN1E00900D,ASSOCIAZIONE R. STEINER - PRIMARIA,29225,/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3,Trento,ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,Primary School
21,21,21,Autonomous Manegement,"Via Conci, 86",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,TN1M007003,ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO,29226,/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3,Trento,ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,Middle School
22,22,22,Autonomous Manegement,"Via Stazione Mori, 10",+39 0464 434899,,,,,,,ASILO COLLE FIORITO,29228,/Scuole/ASSOCIAZIONE-RUDOLF-STEINER-PER-LA-PEDAGOGIA-APS-ROVERETO,4,Rovereto,ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO,Kindergarten
23,23,23,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,29230,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,High School
24,24,24,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,29231,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,High School
25,25,25,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPC01500V,LICEO CLASSICO ARCIVESCOVILE - TRENTO,29232,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,High School
26,26,26,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPL085003,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,29233,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,High School
27,27,27,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPS015002,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,29234,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,High School
28,28,28,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1E00100V,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,29235,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,Primary School
29,29,29,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1M00400G,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,29236,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,Middle School
30,30,30,Autonomous Manegement,"Corso Bettini, 71",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPL005006,LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO,29238,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto,COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,High School
31,31,31,Autonomous Manegement,"Corso Bettini, 31",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1E006002,SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO,29239,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto,COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,Primary School
32,32,32,Autonomous Manegement,"Corso Bettini, 31",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1M00200X,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO,29240,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto,COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,Middle School
33,33,33,Autonomous Manegement,"Via Della Saluga, 7",+39 0461 080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,TN1E005006,SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO,29245,/Scuole/COOPERATIVA-SOCIALE-SACRA-FAMIGLIA-ONLUS2,7,Trento,COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS,Primary School
34,34,34,Autonomous Manegement,"Via Grazioli, 2",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,TNCF009001,SETTORE INDUSTRIA E ARTIGIANATO,29247,/Scuole/Centro-Formazione-Professionale-Centromoda-Canossa-Trento3,8,Trento,"CENTRO FORMAZIONE PROFESSIONALE ""CENTROMODA CANOSSA"" - TRENTO",Professional School
35,35,35,Autonomous Manegement,"Via Gazzoletti, 8",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,,cfp.arco@enaip.tn.it,https://arco.enaiptrentino.it,TNFP249STA,SETTORE INDUSTRIA E ARTIGIANATO,29249,/Scuole/Centro-Formazione-Professionale-ENAIP-Arco2,9,Arco,CENTRO FORMAZIONE PROFESSIONALE ENAIP - ARCO,Professional School
36,36,36,Provincial,"Via del Municipio Vecchio, 2",+39 0461 557640,+39 0461 493495,scuolainfanzia.baselgadipine@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BASELGA DI PINÉ,29289,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
37,37,37,Provincial,"Piazza Scuole, 3",+39 0462 816377,+39 0461 493495,scuolainfanzia.capriana@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CAPRIANA ""MADDALENA LAZZERI""",29290,/Scuole/Circolo-di-coordinamento-n.-15,10,Capriana,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
38,38,38,Provincial,"Frazione Casatta, 54",+39 0462 910249,+39 0461 493495,scuolainfanzia.casatta@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CASATTA,29291,/Scuole/Circolo-di-coordinamento-n.-15,10,Valfloriana,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
39,39,39,Provincial,"Via Telvana, 4",+39 0461 858481,+39 0461 493495,scuolainfanzia.civezzano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CIVEZZANO,29292,/Scuole/Circolo-di-coordinamento-n.-15,10,Civezzano,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
40,40,40,Provincial,"Via S Tommaso, 6",+39 0462 230589,+39 0461 493495,scuolainfanzia.daiano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI DAIANO,29293,/Scuole/Circolo-di-coordinamento-n.-15,10,Ville di Fiemme,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
41,41,41,Provincial,"Maso Ronca, 9",+39 0461 540044,+39 0461 493495,scuolainfanzia.fierozzo@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI FIEROZZO ""HIMBLRING""",29294,/Scuole/Circolo-di-coordinamento-n.-15,10,Fierozzo,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
42,42,42,Provincial,"Via del Dos di Miola, 13",+39 0461 557950,+39 0461 493495,scuolainfanzia.miola@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI MIOLA DI PINÈ,29295,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
43,43,43,Provincial,"Via Segherie, 64/C",+39 0462 230696,+39 0461 493495,scuolainfanzia.molina@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI MOLINA DI FIEMME,29296,/Scuole/Circolo-di-coordinamento-n.-15,10,Castello-Molina di Fiemme,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
44,44,44,Provincial,"Via Vittorino da Feltre, 24",+39 0461 556518,+39 0461 493495,scuolainfanzia.bedollo@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI PIAZZE,29297,/Scuole/Circolo-di-coordinamento-n.-15,10,Bedollo,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
45,45,45,Provincial,"Frazione Rizzolaga, 94",+39 0461 557629,+39 0461 493495,scuolainfanzia.rizzolaga@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI RIZZOLAGA DI PINÈ ""RAGGIO DI SOLE""",29298,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
46,46,46,Provincial,"Localita Pintarei, 9",+39 0461 551163,+39 0461 493495,scuolainfanzia.santorsola@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI S. ORSOLA ""IL GIROTONDO""",29299,/Scuole/Circolo-di-coordinamento-n.-15,10,Sant'Orsola Terme,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
47,47,47,Provincial,"Via Alla Villa Wolf - Rovere, 4",+39 0461 858736,+39 0461 493495,scuolainfanzia.seregnano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI SEREGNANO ""ARCOBALENO""",29300,/Scuole/Circolo-di-coordinamento-n.-15,10,Civezzano,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
48,48,48,Provincial,"Via Mercato, 22",+39 0462 341301,+39 0461 493495,scuolainfanzia.varena@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI VARENA,29301,/Scuole/Circolo-di-coordinamento-n.-15,10,Ville di Fiemme,CIRCOLO DI COORDINAMENTO N. 1,Kindergarten
49,49,49,Provincial,"Via Ammiraglio Bettolo, 21",+39 0461 596247,+39 0461 491976,scuolainfanzia.bieno@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BIENO,29327,/Scuole/Circolo-di-coordinamento-n.-22,11,Bieno,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
50,50,50,Provincial,"Via Alle Scuole - Bosentino, 12",+39 0461 845133,+39 0461 491976,scuolainfanzia.bosentino@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BOSENTINO,29328,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
51,51,51,Provincial,"Localita Lausen, 13",+39 0439 718979,+39 0461 491976,scuolainfanzia.canalsanbovo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CANAL SAN BOVO ""LAUSEN""",29329,/Scuole/Circolo-di-coordinamento-n.-22,11,Canal San Bovo,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
52,52,52,Provincial,"Via Venezia, 16/A",+39 0461 593023,+39 0461 491976,scuolainfanzia.castellotesino@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CASTELLO TESINO,29330,/Scuole/Circolo-di-coordinamento-n.-22,11,Castello Tesino,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
53,53,53,Provincial,"Via dei Campi - Centa San Nicolo, 14",+39 0461 722120,+39 0461 491976,scuolainfanzia.centa@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CENTA SAN NICOLÒ,29331,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
54,54,54,Provincial,"Via Nazionale, 71",+39 0439 67668,+39 0461 491976,scuolainfanzia.imer@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI IMER,29332,/Scuole/Circolo-di-coordinamento-n.-22,11,Imer,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
55,55,55,Provincial,"Via Monsignor Caproni, 1",+39 0461 706330,+39 0461 491976,scuolainfanzia.levico@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI LEVICO TERME ""TAITA MARCOS""",29333,/Scuole/Circolo-di-coordinamento-n.-22,11,Levico Terme,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
56,56,56,Provincial,"Via Valle, 4",+39 0461 721100,+39 0461 491976,scuolainfanzia.novaledo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI NOVALEDO,29334,/Scuole/Circolo-di-coordinamento-n.-22,11,Novaledo,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
57,57,57,Provincial,"Via Venezia, 1",+39 0461 707635,+39 0461 491976,scuolainfanzia.tenna@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TENNA ""IL SENTIERO""",29335,/Scuole/Circolo-di-coordinamento-n.-22,11,Tenna,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
58,58,58,Provincial,"Via Giardino - Vattaro, 7",+39 0461 848066,+39 0461 491976,scuolainfanzia.vattaro@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI VATTARO,29336,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
59,59,59,Provincial,"Via Al Castello - Vigolo Vattaro, 10",+39 0461 848577,+39 0461 491976,scuolainfanzia.vigolovattaro@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI VIGOLO VATTARO ""GIARDINO DELL'AMICIZIA""",29337,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
60,60,60,Provincial,"Via Dei Molini - Agnedo, 39",+39 0461 762822,+39 0461 491976,scuolainfanzia.villagnedo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI VILLA AGNEDO ""NATALE ALPINO""",29338,/Scuole/Circolo-di-coordinamento-n.-22,11,Castel Ivano,CIRCOLO DI COORDINAMENTO N. 2,Kindergarten
61,61,61,Provincial,"Frazione Petrolli, 37",+39 0461 855216,+39 0461 496950,scuolainfanzia.cimone@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CIMONE ""MAMMA TERESA""",29349,/Scuole/Circolo-di-coordinamento-n.-44,12,Cimone,CIRCOLO DI COORDINAMENTO N. 4,Kindergarten
62,62,62,Provincial,"Via Al Torrione, 10",+39 0461 232554,+39 0461 496950,scuolainfanzia.torrione@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO ""TORRIONE""",29350,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento,CIRCOLO DI COORDINAMENTO N. 4,Kindergarten
