,id_comune,Comune,Grado,Materia,Anno,Punteggio_percentuale_medio,Dev_Std_Punteggio_Percentuale,Punteggio_wle_medio,Dev_Std_Punteggio_wle,perc_copertura_stu
6651,22007,AVIO,2,Italian,2013-14,"56,59","20,33","192,83","34,54","92,86"
6654,22047,CASTELLO-MOLINA DI FIEMME,2,Italian,2013-14,"68,63","15,85","212,06","29,76","88,46"
6655,22050,CAVALESE,2,Italian,2013-14,"75,84","10,24","222,76","21,24","94,12"
6656,22053,CAVEDINE,2,Italian,2013-14,"64,60","21,60","205,89","37,67","93,10"
6657,22061,CIVEZZANO,2,Italian,2013-14,"70,26","16,14","215,14","29,53","97,50"
6658,22079,DRO,2,Italian,2013-14,"61,52","22,64","199,78","43,10","92,42"
6659,22103,LAVIS,2,Italian,2013-14,"52,87","25,25","186,12","46,88","88,24"
6660,22115,MEZZANO,2,Italian,2013-14,"64,84","19,44","206,33","33,42","97,22"
6661,22124,NAGO-TORBOLE,2,Italian,2013-14,"59,80","24,98","197,33","42,88","86,21"
6662,22139,PERGINE VALSUGANA,2,Italian,2013-14,"64,83","21,07","206,83","38,15","89,92"
6663,22143,PINZOLO,2,Italian,2013-14,"50,09","28,64","180,29","50,34","86,67"
6664,22153,RIVA DEL GARDA,2,Italian,2013-14,"61,48","24,41","200,15","45,56","91,07"
6665,22156,RONCEGNO TERME,2,Italian,2013-14,"71,62","11,39","215,64","23,25","87,10"
6666,22161,ROVERETO,2,Italian,2013-14,"62,60","21,89","202,36","38,36","90,80"
6667,22167,SAN MICHELE ALL'ADIGE,2,Italian,2013-14,"61,83","20,54","203,35","39,69","95,45"
6669,22183,STORO,2,Italian,2013-14,"69,87","14,95","213,33","26,77","90,32"
6670,22205,TRENTO,2,Italian,2013-14,"62,00","22,95","200,48","42,96","89,85"
6671,22213,VERMIGLIO,2,Italian,2013-14,"70,79","14,21","213,53","23,87","100,00"
6672,22229,LEDRO,2,Italian,2013-14,"64,24","17,05","203,46","29,95","93,75"
8863,22001,ALA,5,Italian,2013-14,"59,69","16,00","196,96","34,79","93,00"
8864,22006,ARCO,5,Italian,2013-14,"65,54","15,58","209,77","36,35","81,54"
8865,22007,AVIO,5,Italian,2013-14,"62,12","14,52","203,19","31,26","91,89"
8868,22047,CASTELLO-MOLINA DI FIEMME,5,Italian,2013-14,"65,24","17,67","208,04","42,44","93,10"
8869,22050,CAVALESE,5,Italian,2013-14,"67,81","13,29","215,77","34,85","96,77"
8870,22053,CAVEDINE,5,Italian,2013-14,"63,11","16,08","204,53","35,31","86,67"
8871,22061,CIVEZZANO,5,Italian,2013-14,"67,14","18,68","216,36","45,07","93,62"
8872,22079,DRO,5,Italian,2013-14,"61,38","16,36","202,34","36,42","81,82"
8873,22103,LAVIS,5,Italian,2013-14,"57,27","15,93","190,14","36,40","88,68"
8874,22115,MEZZANO,5,Italian,2013-14,"58,76","12,70","197,11","26,61","80,00"
8875,22124,NAGO-TORBOLE,5,Italian,2013-14,"68,25","15,18","212,89","36,05","89,29"
8876,22139,PERGINE VALSUGANA,5,Italian,2013-14,"61,77","15,53","201,02","35,92","85,48"
8877,22143,PINZOLO,5,Italian,2013-14,"62,60","14,77","204,62","33,23","85,71"
8878,22153,RIVA DEL GARDA,5,Italian,2013-14,"61,10","15,31","199,10","34,89","91,98"
8879,22156,RONCEGNO TERME,5,Italian,2013-14,"70,91","12,46","218,23","34,47","86,11"
8880,22161,ROVERETO,5,Italian,2013-14,"61,12","16,88","200,19","39,31","86,81"
8881,22167,SAN MICHELE ALL'ADIGE,5,Italian,2013-14,"59,30","15,00","191,57","34,02","93,55"
8883,22183,STORO,5,Italian,2013-14,"55,29","13,47","186,35","29,31","95,31"
8884,22205,TRENTO,5,Italian,2013-14,"63,54","15,89","205,29","36,61","86,81"
8885,22213,VERMIGLIO,5,Italian,2013-14,"63,64","16,70","204,36","36,64","100,00"
8886,22229,LEDRO,5,Italian,2013-14,"65,21","15,96","208,14","38,14","89,58"
10827,22006,ARCO,8,Italian,2013-14,"63,68","15,02","190,47","35,99","89,52"
10828,22139,PERGINE VALSUGANA,8,Italian,2013-14,"67,10","13,73","198,64","33,70","87,74"
10829,22143,PINZOLO,8,Italian,2013-14,"65,16","10,74","190,60","25,17","87,04"
10830,22153,RIVA DEL GARDA,8,Italian,2013-14,"61,28","18,57","180,67","48,60","87,55"
10831,22161,ROVERETO,8,Italian,2013-14,"66,02","14,25","194,34","34,03","85,92"
10832,22205,TRENTO,8,Italian,2013-14,"65,99","16,33","195,34","41,24","87,14"
11606,22006,ARCO,10,Italian,2013-14,"62,50","12,98","190,88","30,71","83,47"
11607,22022,BORGO VALSUGANA,10,Italian,2013-14,"63,78","15,13","193,04","38,60","83,17"
11608,22050,CAVALESE,10,Italian,2013-14,"70,27","14,46","212,17","37,23","84,62"
11609,22061,CIVEZZANO,10,Italian,2013-14,"63,75","12,26","194,02","27,34","84,78"
11610,22062,CLES,10,Italian,2013-14,"70,03","13,84","210,32","35,52","92,12"
11611,22104,LEVICO TERME,10,Italian,2013-14,"57,64","12,47","179,49","28,81","79,08"
11612,22117,MEZZOLOMBARDO,10,Italian,2013-14,"67,01","19,34","201,82","60,53","82,57"
11613,22139,PERGINE VALSUGANA,10,Italian,2013-14,"71,50","11,55","213,68","30,00","88,57"
11615,22153,RIVA DEL GARDA,10,Italian,2013-14,"73,40","15,70","221,31","41,25","88,56"
11616,22161,ROVERETO,10,Italian,2013-14,"63,93","15,92","193,59","41,80","82,45"
11617,22167,SAN MICHELE ALL'ADIGE,10,Italian,2013-14,"70,63","11,96","210,80","30,94","83,49"
11618,22199,TIONE DI TRENTO,10,Italian,2013-14,"61,46","16,92","188,21","43,88","87,39"
11620,22205,TRENTO,10,Italian,2013-14,"66,80","15,68","201,28","42,00","82,96"
12784,22001,ALA,2,Mathematics,2013-14,"57,62","17,17","205,38","37,27","91,30"
12785,22006,ARCO,2,Mathematics,2013-14,"60,21","16,55","209,77","35,55","91,85"
12786,22007,AVIO,2,Mathematics,2013-14,"51,53","16,32","193,41","33,56","92,86"
12789,22047,CASTELLO-MOLINA DI FIEMME,2,Mathematics,2013-14,"67,73","18,94","227,01","42,33","92,31"
12790,22050,CAVALESE,2,Mathematics,2013-14,"70,14","12,63","229,38","30,01","94,12"
12791,22053,CAVEDINE,2,Mathematics,2013-14,"56,87","18,12","204,89","38,06","93,10"
12792,22061,CIVEZZANO,2,Mathematics,2013-14,"65,95","13,47","221,03","28,75","95,00"
12793,22079,DRO,2,Mathematics,2013-14,"51,67","17,54","192,81","38,53","93,94"
12794,22103,LAVIS,2,Mathematics,2013-14,"46,14","20,23","180,23","42,44","90,20"
12795,22115,MEZZANO,2,Mathematics,2013-14,"59,24","18,05","208,44","38,84","94,44"
12796,22124,NAGO-TORBOLE,2,Mathematics,2013-14,"59,28","14,73","207,45","30,57","86,21"
12797,22139,PERGINE VALSUGANA,2,Mathematics,2013-14,"61,48","16,42","214,16","37,33","89,08"
12798,22143,PINZOLO,2,Mathematics,2013-14,"55,94","18,56","201,57","38,20","93,33"
12799,22153,RIVA DEL GARDA,2,Mathematics,2013-14,"57,57","19,14","205,03","40,95","89,88"
12800,22156,RONCEGNO TERME,2,Mathematics,2013-14,"67,96","14,08","227,14","33,85","87,10"
12801,22161,ROVERETO,2,Mathematics,2013-14,"56,98","20,09","204,24","45,12","91,28"
12802,22167,SAN MICHELE ALL'ADIGE,2,Mathematics,2013-14,"59,97","16,67","208,90","36,25","93,18"
12804,22183,STORO,2,Mathematics,2013-14,"58,92","16,79","207,07","36,34","88,71"
12805,22205,TRENTO,2,Mathematics,2013-14,"56,08","18,30","201,31","38,89","90,32"
12806,22213,VERMIGLIO,2,Mathematics,2013-14,"66,05","16,42","221,03","38,13","100,00"
12807,22229,LEDRO,2,Mathematics,2013-14,"61,87","19,89","217,18","48,82","92,19"
14994,22001,ALA,5,Mathematics,2013-14,"65,50","17,38","204,87","40,01","92,00"
14995,22006,ARCO,5,Mathematics,2013-14,"71,81","13,34","219,34","34,12","82,05"
14996,22007,AVIO,5,Mathematics,2013-14,"69,71","12,19","212,07","30,73","91,89"
14999,22047,CASTELLO-MOLINA DI FIEMME,5,Mathematics,2013-14,"69,41","18,19","217,83","46,97","93,10"
15000,22050,CAVALESE,5,Mathematics,2013-14,"71,39","18,88","219,09","61,83","96,77"
15001,22053,CAVEDINE,5,Mathematics,2013-14,"66,59","15,64","208,77","35,71","76,67"
15002,22061,CIVEZZANO,5,Mathematics,2013-14,"67,70","17,91","211,54","42,43","93,62"
15003,22079,DRO,5,Mathematics,2013-14,"72,81","14,26","220,69","35,79","83,64"
15004,22103,LAVIS,5,Mathematics,2013-14,"60,75","16,28","194,11","37,55","89,62"
15005,22115,MEZZANO,5,Mathematics,2013-14,"67,17","14,61","207,79","35,27","83,33"
15006,22124,NAGO-TORBOLE,5,Mathematics,2013-14,"67,28","14,48","208,56","44,14","89,29"
15007,22139,PERGINE VALSUGANA,5,Mathematics,2013-14,"66,40","15,65","206,69","37,45","85,48"
15008,22143,PINZOLO,5,Mathematics,2013-14,"64,33","15,48","200,19","32,93","85,71"
15009,22153,RIVA DEL GARDA,5,Mathematics,2013-14,"67,13","15,67","206,98","35,88","91,98"
15010,22156,RONCEGNO TERME,5,Mathematics,2013-14,"74,31","12,77","230,26","40,77","86,11"
15011,22161,ROVERETO,5,Mathematics,2013-14,"66,16","15,48","207,09","39,22","86,57"
15012,22167,SAN MICHELE ALL'ADIGE,5,Mathematics,2013-14,"60,97","13,78","192,77","29,58","93,55"
15014,22183,STORO,5,Mathematics,2013-14,"65,19","15,35","203,42","34,98","95,31"
15015,22205,TRENTO,5,Mathematics,2013-14,"67,74","15,99","209,90","38,74","86,55"
15016,22213,VERMIGLIO,5,Mathematics,2013-14,"68,21","20,43","215,99","51,61","100,00"
15017,22229,LEDRO,5,Mathematics,2013-14,"69,25","17,69","217,17","45,92","89,58"
16955,22006,ARCO,8,Mathematics,2013-14,"60,30","16,91","196,83","40,55","89,52"
16956,22139,PERGINE VALSUGANA,8,Mathematics,2013-14,"63,24","15,81","204,48","39,20","87,74"
16957,22143,PINZOLO,8,Mathematics,2013-14,"62,31","13,99","199,68","30,81","87,04"
16958,22153,RIVA DEL GARDA,8,Mathematics,2013-14,"62,24","17,71","201,84","44,65","87,55"
16959,22161,ROVERETO,8,Mathematics,2013-14,"61,43","16,53","200,03","39,59","85,92"
16960,22205,TRENTO,8,Mathematics,2013-14,"62,70","17,50","203,11","43,63","87,14"
17739,22006,ARCO,10,Mathematics,2013-14,"43,88","12,87","186,54","30,90","83,47"
17740,22022,BORGO VALSUGANA,10,Mathematics,2013-14,"49,36","14,78","199,82","36,63","83,17"
17741,22050,CAVALESE,10,Mathematics,2013-14,"50,20","13,69","201,89","34,05","84,62"
17742,22061,CIVEZZANO,10,Mathematics,2013-14,"46,25","11,43","193,22","27,07","82,61"
17743,22062,CLES,10,Mathematics,2013-14,"54,58","16,30","212,32","41,10","92,12"
17744,22104,LEVICO TERME,10,Mathematics,2013-14,"39,39","9,06","176,46","22,52","80,10"
17745,22117,MEZZOLOMBARDO,10,Mathematics,2013-14,"53,05","15,42","209,68","37,98","82,57"
17746,22139,PERGINE VALSUGANA,10,Mathematics,2013-14,"54,49","13,79","211,87","33,34","88,57"
17748,22153,RIVA DEL GARDA,10,Mathematics,2013-14,"56,33","17,64","217,09","43,97","88,83"
17749,22161,ROVERETO,10,Mathematics,2013-14,"49,64","15,10","198,07","38,47","82,74"
17750,22167,SAN MICHELE ALL'ADIGE,10,Mathematics,2013-14,"57,33","14,87","215,63","37,81","83,94"
17751,22199,TIONE DI TRENTO,10,Mathematics,2013-14,"48,06","14,92","195,17","38,77","87,39"
17753,22205,TRENTO,10,Mathematics,2013-14,"53,17","15,55","208,30","39,06","83,20"
18908,22001,ALA,2,Italian,2014-15,"52,04","23,48","192,27","45,04","89,19"
18909,22006,ARCO,2,Italian,2014-15,"58,65","18,26","203,59","33,78","88,96"
18910,22007,AVIO,2,Italian,2014-15,"65,33","21,95","217,22","42,07","90,48"
18911,22009,BASELGA DI PINÈ,2,Italian,2014-15,"54,82","22,85","197,95","47,04","93,88"
18913,22047,CASTELLO-MOLINA DI FIEMME,2,Italian,2014-15,"52,17","23,08","195,73","49,33","91,67"
18914,22050,CAVALESE,2,Italian,2014-15,"63,57","18,18","212,53","34,15","95,00"
18915,22053,CAVEDINE,2,Italian,2014-15,"58,31","20,07","203,47","37,04","95,12"
18916,22061,CIVEZZANO,2,Italian,2014-15,"63,18","17,68","208,91","32,30","97,96"
18917,22079,DRO,2,Italian,2014-15,"58,51","19,32","203,30","36,83","80,00"
18918,22103,LAVIS,2,Italian,2014-15,"56,97","20,19","201,64","39,94","92,86"
18919,22115,MEZZANO,2,Italian,2014-15,"55,72","22,00","198,70","40,90","92,68"
18920,22124,NAGO-TORBOLE,2,Italian,2014-15,"60,60","19,10","203,98","35,36","91,89"
18921,22139,PERGINE VALSUGANA,2,Italian,2014-15,"57,60","21,25","202,48","41,36","93,83"
18922,22143,PINZOLO,2,Italian,2014-15,"61,28","21,32","207,41","40,22","83,33"
18923,22153,RIVA DEL GARDA,2,Italian,2014-15,"55,65","21,14","198,52","39,76","88,24"
18924,22156,RONCEGNO TERME,2,Italian,2014-15,"63,86","18,46","212,63","36,19","87,50"
18925,22161,ROVERETO,2,Italian,2014-15,"59,49","21,63","205,92","42,39","88,79"
18926,22167,SAN MICHELE ALL'ADIGE,2,Italian,2014-15,"54,21","19,69","197,82","41,01","88,89"
18928,22183,STORO,2,Italian,2014-15,"57,51","20,73","202,04","38,84","97,06"
18929,22205,TRENTO,2,Italian,2014-15,"57,74","23,23","200,50","49,95","91,29"
18930,22213,VERMIGLIO,2,Italian,2014-15,"50,07","16,38","187,41","28,20","100,00"
18931,22229,LEDRO,2,Italian,2014-15,"49,58","22,42","187,42","40,99","82,46"
18932,22230,PREDAIA,2,Italian,2014-15,"64,52","18,20","214,95","38,62","95,00"
20974,22001,ALA,5,Italian,2014-15,"54,12","14,70","194,22","31,20","87,72"
20975,22006,ARCO,5,Italian,2014-15,"58,50","16,55","203,77","36,53","94,82"
20976,22007,AVIO,5,Italian,2014-15,"60,17","17,47","208,85","40,70","97,37"
20977,22009,BASELGA DI PINÈ,5,Italian,2014-15,"56,72","14,71","199,62","32,26","89,09"
20979,22047,CASTELLO-MOLINA DI FIEMME,5,Italian,2014-15,"65,41","17,30","219,91","39,67","76,92"
20980,22050,CAVALESE,5,Italian,2014-15,"72,85","10,95","238,78","37,09","85,37"
20981,22053,CAVEDINE,5,Italian,2014-15,"49,78","15,25","184,94","32,76","95,65"
20982,22061,CIVEZZANO,5,Italian,2014-15,"68,06","14,20","224,84","34,18","92,00"
20983,22079,DRO,5,Italian,2014-15,"60,65","15,26","208,74","33,88","79,17"
20984,22103,LAVIS,5,Italian,2014-15,"62,62","15,83","213,54","37,28","86,00"
20985,22115,MEZZANO,5,Italian,2014-15,"59,31","18,19","204,79","39,90","100,00"
20986,22124,NAGO-TORBOLE,5,Italian,2014-15,"52,51","18,03","191,74","39,58","100,00"
20987,22139,PERGINE VALSUGANA,5,Italian,2014-15,"56,85","16,73","200,44","37,24","93,16"
20988,22143,PINZOLO,5,Italian,2014-15,"53,72","16,76","192,53","35,87","94,12"
20989,22153,RIVA DEL GARDA,5,Italian,2014-15,"55,46","17,09","197,41","37,91","91,71"
20990,22156,RONCEGNO TERME,5,Italian,2014-15,"60,52","15,65","208,53","35,81","86,11"
20991,22161,ROVERETO,5,Italian,2014-15,"58,06","18,17","203,06","40,83","90,02"
20992,22167,SAN MICHELE ALL'ADIGE,5,Italian,2014-15,"57,06","16,94","201,16","37,56","82,35"
20994,22183,STORO,5,Italian,2014-15,"55,26","14,85","196,32","31,04","93,44"
20995,22205,TRENTO,5,Italian,2014-15,"59,47","17,03","206,13","38,37","87,99"
20996,22213,VERMIGLIO,5,Italian,2014-15,"59,83","18,28","208,79","44,37","92,00"
20997,22229,LEDRO,5,Italian,2014-15,"59,39","20,55","205,75","48,60","91,53"
20998,22230,PREDAIA,5,Italian,2014-15,"64,58","15,41","218,23","38,14","94,29"
22783,22006,ARCO,8,Italian,2014-15,"65,50","16,76","196,78","36,08","92,75"
22784,22139,PERGINE VALSUGANA,8,Italian,2014-15,"67,02","15,89","200,19","35,13","91,23"
22785,22143,PINZOLO,8,Italian,2014-15,"61,36","14,70","179,53","38,72","94,23"
22786,22153,RIVA DEL GARDA,8,Italian,2014-15,"62,85","18,64","192,24","40,06","94,52"
22787,22161,ROVERETO,8,Italian,2014-15,"64,10","18,13","194,56","39,54","87,16"
22788,22205,TRENTO,8,Italian,2014-15,"66,42","17,71","199,35","39,80","90,67"
23567,22006,ARCO,10,Italian,2014-15,"41,29","18,19","171,86","38,43","97,67"
23568,22022,BORGO VALSUGANA,10,Italian,2014-15,"52,46","23,36","192,12","56,54","94,89"
23569,22050,CAVALESE,10,Italian,2014-15,"62,35","14,90","214,12","30,07","88,79"
23570,22061,CIVEZZANO,10,Italian,2014-15,"53,13","14,19","196,69","28,52","96,30"
23571,22062,CLES,10,Italian,2014-15,"57,83","17,69","205,84","36,85","97,34"
23572,22104,LEVICO TERME,10,Italian,2014-15,"38,46","14,93","167,30","30,79","97,24"
23573,22117,MEZZOLOMBARDO,10,Italian,2014-15,"54,94","16,64","197,45","40,02","90,53"
23574,22139,PERGINE VALSUGANA,10,Italian,2014-15,"63,31","14,75","216,33","31,05","72,97"
23576,22153,RIVA DEL GARDA,10,Italian,2014-15,"60,62","20,04","211,57","42,61","90,38"
23577,22161,ROVERETO,10,Italian,2014-15,"55,68","18,70","201,58","38,65","91,15"
23578,22167,SAN MICHELE ALL'ADIGE,10,Italian,2014-15,"50,81","18,60","190,48","39,84","95,28"
23579,22199,TIONE DI TRENTO,10,Italian,2014-15,"54,61","17,24","198,16","36,09","94,33"
23581,22205,TRENTO,10,Italian,2014-15,"57,35","19,14","204,37","40,80","91,41"
24602,22001,ALA,2,Mathematics,2014-15,"50,07","22,32","192,46","42,76","89,19"
24603,22006,ARCO,2,Mathematics,2014-15,"58,86","17,81","208,01","33,96","92,02"
24604,22007,AVIO,2,Mathematics,2014-15,"56,76","22,63","206,75","48,57","88,10"
24605,22009,BASELGA DI PINÈ,2,Mathematics,2014-15,"54,85","17,95","201,18","34,78","93,88"
24606,22047,CASTELLO-MOLINA DI FIEMME,2,Mathematics,2014-15,"66,12","15,80","218,85","32,08","95,83"
24607,22050,CAVALESE,2,Mathematics,2014-15,"61,49","19,69","215,25","40,18","95,00"
24608,22053,CAVEDINE,2,Mathematics,2014-15,"56,07","22,18","203,60","43,47","95,12"
24609,22061,CIVEZZANO,2,Mathematics,2014-15,"67,32","18,77","224,89","37,60","98,00"
24610,22079,DRO,2,Mathematics,2014-15,"49,33","17,93","191,03","32,72","83,33"
24611,22103,LAVIS,2,Mathematics,2014-15,"54,53","19,80","200,34","36,48","92,86"
24612,22115,MEZZANO,2,Mathematics,2014-15,"60,83","19,29","213,19","37,61","97,56"
24613,22124,NAGO-TORBOLE,2,Mathematics,2014-15,"53,33","20,80","197,73","38,48","100,00"
24614,22139,PERGINE VALSUGANA,2,Mathematics,2014-15,"57,56","21,60","206,96","44,96","93,09"
24615,22153,RIVA DEL GARDA,2,Mathematics,2014-15,"51,62","22,05","195,93","41,82","90,59"
24616,22156,RONCEGNO TERME,2,Mathematics,2014-15,"66,71","12,98","221,28","25,89","87,50"
24617,22161,ROVERETO,2,Mathematics,2014-15,"57,79","20,56","206,63","40,17","94,41"
24618,22167,SAN MICHELE ALL'ADIGE,2,Mathematics,2014-15,"57,85","18,98","207,01","36,25","86,11"
24619,22183,STORO,2,Mathematics,2014-15,"51,26","20,53","194,85","38,37","97,06"
24620,22205,TRENTO,2,Mathematics,2014-15,"57,84","22,07","205,79","45,54","92,73"
24621,22213,VERMIGLIO,2,Mathematics,2014-15,"50,07","15,30","190,63","27,71","92,86"
24622,22229,LEDRO,2,Mathematics,2014-15,"61,14","21,08","213,41","43,01","92,98"
24623,22230,PREDAIA,2,Mathematics,2014-15,"64,57","21,59","221,59","45,93","94,29"
24624,22236,ALTOPIANO DELLA VIGOLANA,2,Mathematics,2014-15,"62,30","18,43","214,43","36,16","96,43"
24625,22240,CASTEL IVANO,2,Mathematics,2014-15,"48,07","19,70","188,89","35,43","82,61"
24626,22243,MADRUZZO,2,Mathematics,2014-15,"54,53","23,25","201,78","45,80","92,59"
24627,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Mathematics,2014-15,"68,52","13,22","223,28","26,29","92,16"
24628,22246,SELLA GIUDICARIE,2,Mathematics,2014-15,"54,48","23,40","200,93","43,84","97,22"
24629,22247,TRE VILLE,2,Mathematics,2014-15,"62,92","21,18","215,71","38,55","94,12"
24630,22248,VALLELAGHI,2,Mathematics,2014-15,"53,87","21,17","200,05","41,64","89,29"
24631,22249,VILLE D'ANAUNIA,2,Mathematics,2014-15,"59,63","21,66","211,92","45,48","92,31"
24632,22250,SAN GIOVANNI DI FASSA,2,Mathematics,2014-15,"68,42","18,70","227,80","41,26","90,48"
26733,22001,ALA,5,Mathematics,2014-15,"55,88","19,36","201,76","37,15","88,60"
26734,22006,ARCO,5,Mathematics,2014-15,"59,42","20,16","208,86","39,06","96,37"
26735,22007,AVIO,5,Mathematics,2014-15,"55,83","21,61","205,48","48,03","97,37"
26736,22009,BASELGA DI PINÈ,5,Mathematics,2014-15,"57,22","17,36","203,95","32,68","85,45"
26738,22047,CASTELLO-MOLINA DI FIEMME,5,Mathematics,2014-15,"67,42","13,28","223,05","26,42","76,92"
26739,22050,CAVALESE,5,Mathematics,2014-15,"71,88","18,22","237,11","44,82","92,68"
26740,22053,CAVEDINE,5,Mathematics,2014-15,"52,33","19,70","196,07","37,22","95,65"
26741,22061,CIVEZZANO,5,Mathematics,2014-15,"68,76","15,59","226,76","37,90","90,00"
26742,22079,DRO,5,Mathematics,2014-15,"58,81","15,90","206,37","29,98","79,17"
26743,22103,LAVIS,5,Mathematics,2014-15,"65,42","17,20","220,78","36,29","87,00"
26744,22115,MEZZANO,5,Mathematics,2014-15,"62,55","17,33","215,05","33,39","100,00"
26745,22124,NAGO-TORBOLE,5,Mathematics,2014-15,"52,80","23,85","196,67","45,73","100,00"
26746,22139,PERGINE VALSUGANA,5,Mathematics,2014-15,"57,07","19,46","204,93","38,29","91,03"
26747,22143,PINZOLO,5,Mathematics,2014-15,"55,95","19,04","202,58","37,42","97,14"
26748,22153,RIVA DEL GARDA,5,Mathematics,2014-15,"56,21","19,95","203,87","40,62","93,75"
26749,22156,RONCEGNO TERME,5,Mathematics,2014-15,"65,12","15,48","218,59","30,73","80,56"
