coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
GIULIANA BATTISTI,nan,nan,Circolo di coordinamento pedagogico,nan,nan,"Viale Dante,
    
5 -
    
38057    
PERGINE VALSUGANA",+39 0461 493491,+39 0461 493495,circolo.coordinamento01@provincia.tn.it,nan,circolo.coordinamento01@provincia.tn.it,nan,nan,13,"

                
Circolo di coordinamento n. 1
            
",/Scuole/Circolo-di-coordinamento-n.-15,10
CATERINA FRUET,nan,nan,Circolo di coordinamento pedagogico,nan,nan,"Via Temanza,
    
4 -
    
38051    
BORGO VALSUGANA",+39 0461 491980,+39 0461 491976,circolo.coordinamento02@provincia.tn.it,nan,circolo.coordinamento02@provincia.tn.it,nan,nan,12,"

                
Circolo di coordinamento n. 2
            
",/Scuole/Circolo-di-coordinamento-n.-22,11
RITA FERENZENA,nan,nan,Circolo di coordinamento pedagogico,nan,nan,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496954,+39 0461 496950,circolo.coordinamento04@provincia.tn.it,nan,circolo.coordinamento04@provincia.tn.it,nan,nan,6,"

                
Circolo di coordinamento n. 4
            
",/Scuole/Circolo-di-coordinamento-n.-44,12
nan,nan,nan,Istituzione scolastica e formativa,nan,LUCA BRANZ,"Via Mitterer,
    
10 -
    
38023    
CLES",+39 0463 421362,+39 0463 421606,cfp.cles@pec.it,nan,cfp.cles@enaip.tn.it,https://cles.enaiptrentino.it/,nan,1,"

                
Centro Formazione Professionale ENAIP - Cles
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Cles2,13
nan,nan,nan,Istituzione scolastica e formativa,nan,DINO MOSER,"Via Caltrezza,
    
13 -
    
38038    
TESERO",+39 0462 813133,+39 0462 813145,cfp.tesero@pec.it,nan,cfp.tesero@enaip.tn.it,https://tesero.enaiptrentino.it/,nan,2,"

                
Centro Formazione Professionale ENAIP - Tesero
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Tesero2,14
nan,nan,nan,Istituzione scolastica e formativa,nan,EMILIO SALVATERRA,"Via Durone,
    
57 -
    
38079    
TIONE DI TRENTO",+39 0465 321316,+39 0465 322091,cfp.tione@pec.it,nan,cfp.tione@enaip.tn.it,https://tione.enaiptrentino.it/,TNCF001001,2,"

                
Centro Formazione Professionale ENAIP - Tione di Trento
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Tione-di-Trento2,15
nan,nan,nan,Istituzione scolastica e formativa,nan,MASSIMO MALOSSINI,"Rione Europa,
    
3 -
    
38066    
RIVA DEL GARDA",+39 0464 521300,+39 0464 521553,cfp.rivadelgarda@pec.it,nan,cfp.rivadelgarda@enaip.tn.it,https://rivadelgarda.enaiptrentino.it/,TNCF007001,1,"

                
Centro Formazione Professionale ENAIP - Varone di Riva del Garda
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Varone-di-Riva-del-Garda2,16
nan,nan,nan,Istituzione scolastica e formativa,nan,PAOLA COCCIA,"Via Asiago,
    
14 -
    
38123    
TRENTO",+39 0461 920386,+39 0461 914935,cfp.villazzano@pec.it,nan,cfp.villazzano@enaip.tn.it,https://villazzano.enaiptrentino.it/,TNCF008001,2,"

                
Centro Formazione Professionale ENAIP - Villazzano
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Villazzano2,17
nan,nan,nan,Istituzione scolastica e formativa,BERNARDO ZANONER,CHIARA BERTOLINI,"Viale Roma,
    
61 -
    
38056    
LEVICO TERME",+39 0461 706145,+39 0461 701940,cfplevico@pec.operaarmidabarelli.org,nan,cfplevico@operaarmidabarelli.org,http://www.operaarmidabarelli.org,nan,1,"

                
Centro Formazione Professionale Opera Armida Barelli - Levico
            
",/Scuole/Centro-Formazione-Professionale-Opera-Armida-Barelli-Levico2,18
nan,nan,nan,Istituzione scolastica e formativa,BERNARDO ZANONER,ANNA PRATI,"Via Setaioli,
    
5 -
    
38068    
ROVERETO",+39 0464 433771,+39 0464 431711,cfprovereto@pec.operaarmidabarelli.org,nan,cfprovereto@operaarmidabarelli.org,http://www.operaarmidabarelli.org,TNCF005001,1,"

                
Centro Formazione Professionale Opera Armida Barelli - Rovereto
            
",/Scuole/Centro-Formazione-Professionale-Opera-Armida-Barelli-Rovereto2,19
nan,nan,nan,Istituzione scolastica e formativa,ERIK GADOTTI,nan,"Piazza Di Fiera,
    
4 -
    
38122    
TRENTO",+39 0461 270244,+39 0461 270241,nan,nan,scuolagrafica@artigianelli.tn.it,http://www.artigianelli.tn.it/,TNCF004001,1,"

                
Centro Formazione Professionale Pavoniano Artigianelli - Trento
            
",/Scuole/Centro-Formazione-Professionale-Pavoniano-Artigianelli-Trento2,20
nan,nan,nan,Istituzione scolastica e formativa,nan,CLAUDIO NICOLUSSI,"Via Gazzoletti,
    
10 -
    
38062    
ARCO",+39 0464 556585,+39 0464 556599,cfp-upt@pec.it,nan,segreteria.arco@cfp-upt.it,http://www.cfpupt.it/sede-di-arco,nan,1,"

                
Centro Formazione Professionale UPT - Arco
            
",/Scuole/Centro-Formazione-Professionale-UPT-Arco2,21
nan,nan,nan,Istituzione scolastica e formativa,nan,WALTER IORI,"Via D Agostin,
    
2 -
    
38023    
CLES",+39 0463 422820,+39 0463 424409,cfp-upt@pec.it,nan,segreteria.cles@cfp-upt.it,http://www.cfp-upt.it,nan,1,"

                
Centro Formazione Professionale UPT - Cles
            
",/Scuole/Centro-Formazione-Professionale-UPT-Cles2,22
nan,nan,nan,Istituzione scolastica e formativa,nan,WALTER IORI,"Via Pasqui,
    
10 -
    
38068    
ROVERETO",+39 0464 630050,nan,cfp-upt@pec.it,nan,segreteria.rovereto@cfp-upt.it,nan,nan,1,"

                
Centro Formazione Professionale UPT - Rovereto
            
",/Scuole/Centro-Formazione-Professionale-UPT-Rovereto2,23
nan,nan,nan,Istituzione scolastica e formativa,nan,PAOLO ZANLUCCHI,"Via Roma,
    
15 -
    
38079    
TIONE DI TRENTO",+39 0465 321889,+39 0465 324518,cfp-upt@pec.it,nan,segreteria.tione@cfp-upt.it,http://www.cfp-upt.it,nan,1,"

                
Centro Formazione Professionale UPT - Tione di Trento
            
",/Scuole/Centro-Formazione-Professionale-UPT-Tione-di-Trento2,24
nan,nan,nan,Istituzione scolastica e formativa,nan,WALTER IORI,"Via Borsieri,
    
2 -
    
38122    
TRENTO",+39 0461 239997,+39 0461 260235,cfp-upt@pec.it,nan,segreteria.sede@cfp-upt.it,http://www.cfp-upt.it,TNCF003001,2,"

                
Centro Formazione Professionale UPT - Trento
            
",/Scuole/Centro-Formazione-Professionale-UPT-Trento2,25
nan,nan,nan,Istituzione scolastica e formativa,nan,FAUSTO ECCHER,"Via Forno - Transacqua,
    
12 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",+39 0439 762057,+39 0439 762833,cfp.primiero@pec.it,nan,cfp.primiero@enaip.tn.it,https://primiero.enaiptrentino.it/,nan,2,"

                
Centro Formazione Professionale ENAIP - Primiero
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Primiero2,26
SARA DE ZOLT,nan,nan,Scuola dell'infanzia,nan,nan,"Strada Giuseppe Soraperra - Pozza di Fassa,
    
4 -
    
38036    
SAN GIOVANNI DI FASSA - SEN JAN",0462-763194,nan,vigo.fassa.presidente@fpsm.tn.it,nan,vigo.fassa.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vigo di Fassa
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-di-Fassa2,27
ELENA RICCI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Guardi,
    
7 -
    
38010    
TON",0461-657897,nan,vigo.ton.segretario@fpsm.tn.it,nan,vigo.ton.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Vigo di Ton
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-di-Ton2,28
CARMEN FATTORI,nan,nan,Scuola dell'infanzia,nan,nan,"Via dei Carli,
    
16 -
    
38121    
TRENTO",0461-209045,nan,villamontagna.segretario@fpsm.tn.it,nan,villamontagna.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Villamontagna
            
",/Scuole/Scuola-dell-infanzia-di-Villamontagna2,29
IVANA LEONARDELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Giordano,
    
15 -
    
38123    
TRENTO",0461-920382,nan,villazzano.segretario@fpsm.tn.it,nan,villazzano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Villazzano
            
",/Scuole/Scuola-dell-infanzia-di-Villazzano2,30
SILVANO MEDVES,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Maria,
    
13 -
    
38060    
VOLANO",0464-411516,nan,volano.segretario@fpsm.tn.it,nan,volano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Volano
            
",/Scuole/Scuola-dell-infanzia-di-Volano2,31
nan,nan,nan,Istituzione scolastica e formativa,VALENTINA ZANOLLA,nan,"Via Perlasca,
    
4 -
    
38017    
MEZZOLOMBARDO",+39 0461 601122,+39 0461 601470,martini@pec.provincia.tn.it,dir.martini.mezzolombardo@scuole.provincia.tn.it,segr.martini.mezzolombardo@scuole.provincia.tn.it,http://www.martinomartini.eu,TNIS00300A,7,"

                
ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO
            
",/Scuole/ISTITUTO-DI-ISTRUZIONE-M.-Martini-MEZZOLOMBARDO2,32
nan,nan,nan,Istituzione scolastica e formativa,DANIELA SIMONCELLI,nan,"Via Zambra,
    
3 -
    
38121    
TRENTO",+39 0461 824422,+39 0461 824345,vittoria@pec.provincia.tn.it,dir.istitutodellearti@scuole.provincia.tn.it,info@istitutodellearti.tn.it,https://www.istitutodellearti.tn.it,TNSD02000X,3,"

                
LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""
            
",/Scuole/LICEO-DELLE-ARTI-DI-TRENTO-E-ROVERETO-Vittoria-Bonporti-Depero,33
nan,nan,nan,Istituzione scolastica e formativa,LORENZA MORELLI,nan,"Piazza S Teresa Verzeri,
    
4 -
    
38122    
TRENTO",+39 0461 981465,+39 0461 982734,nan,nan,istitutocomprensivo@istitutosacrocuore.it,http://www.istitutosacrocuore.it,nan,6,"

                
ISTITUTO SACRO CUORE - TRENTO
            
",/Scuole/ISTITUTO-SACRO-CUORE-TRENTO2,34
nan,nan,nan,Istituzione scolastica e formativa,PAOLO MUNARETTO,nan,"Via Barbacovi,
    
22 -
    
38122    
TRENTO",+39 0461 885555,+39 0461 981972,sdbtrento@pcert.postecert.it,nan,segreteria@sdbtrento.it,http://www.sdbtrento.it,nan,1,"

                
ISTITUTO SALESIANO MARIA AUSILIATRICE - TRENTO
            
",/Scuole/ISTITUTO-SALESIANO-MARIA-AUSILIATRICE-TRENTO2,35
nan,nan,nan,Istituzione scolastica e formativa,NICOLA TOFFANELLO,nan,"Via Molaren,
    
29 -
    
38050    
MEZZANO",+39 0439 762019,+39 0439 762664,salesianimezzano@pec.it,nan,segreteria@sdbmezzano.it,http://www.salesianimezzano.it,nan,2,"

                
ISTITUTO SALESIANO S. CROCE - MEZZANO
            
",/Scuole/ISTITUTO-SALESIANO-S.-CROCE-MEZZANO,36
nan,nan,nan,Istituzione scolastica e formativa,ANDREA BEZZI,nan,"Via Brigata Acqui,
    
19 -
    
38122    
TRENTO",0461239955,0461230175,tambosibattisti@pec.provincia.tn.it,dir.tambositn@scuole.provincia.tn.it,segr.tambositn@scuole.provincia.tn.it,http://tambosi.tn.it,TNTD18000T,2,"

                
ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-A.-Tambosi-TRENTO,37
nan,nan,nan,Istituzione scolastica e formativa,ALFREDO ROMANTINI,nan,"Via IV Novembre,
    
35 -
    
38023    
CLES",+39 0463 421695,+39 0463 421477,pilati@pec.provincia.tn.it,dir.itetpilati@scuole.provincia.tn.it,segr.itetpilati@scuole.provincia.tn.it,http://www.istitutopilati.it,TNTD100001,5,"

                
ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-E-TECNOLOGICO-C.A.-Pilati-CLES2,38
nan,nan,nan,Istituzione scolastica e formativa,GIUSEPPE SANTOLI,nan,"Via Del Teatro,
    
4 -
    
38068    
ROVERETO",+39 0464 436100,+39 0464 434116,fontana@pec.provincia.tn.it,dir.fontana@scuole.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,http://www.fgfontana.eu,TNTD020009,4,"

                
ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-E-TECNOLOGICO-F.-e-G.-Fontana-ROVERETO,39
nan,nan,nan,Istituzione scolastica e formativa,GIUSEPPE RIZZA,nan,"Via Monti,
    
1 -
    
38068    
ROVERETO",+39 0464 411400,+39 0464 419130,marconi@pec.provincia.tn.it,dir.itimarconi@scuole.provincia.tn.it,segr.itimarconi@scuole.provincia.tn.it,http://www.marconirovereto.it,TNTF02000G,2,"

                
ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO
            
",/Scuole/ISTITUTO-TECNICO-TECNOLOGICO-G.-Marconi-ROVERETO2,40
nan,nan,nan,Istituzione scolastica e formativa,LAURA ZOLLER,nan,"Via Brigata Acqui,
    
15 -
    
38122    
TRENTO",+39 0461 216811,+39 0461 984216,buonarroti@pec.provincia.tn.it,dir.buonarroti@scuole.provincia.tn.it,istituto.tecnico@buonarroti.tn.it,http://www.buonarroti.tn.it/,TNIS013001,2,"

                
ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO
            
",/Scuole/ISTITUTO-TECNICO-TECNOLOGICO-M.-Buonarroti-TRENTO,41
nan,nan,nan,Istituzione scolastica e formativa,PAOLO PENDENZA,nan,"Corso Bettini,
    
86 -
    
38068    
ROVERETO",+39 0464 437700,+39 0464 420025,rosmini.rovereto@pec.provincia.tn.it,dir.liceorosmini@scuole.provincia.tn.it,segr.liceorosmini@scuole.provincia.tn.it,http://www.liceorosmini.eu,TNPC02000A,4,"

                
LICEO ""A. Rosmini"" - ROVERETO
            
",/Scuole/LICEO-A.-Rosmini-ROVERETO2,42
nan,nan,nan,Istituzione scolastica e formativa,STEFANO KIRCHNER,nan,"Via Malfatti,
    
2 -
    
38122    
TRENTO",+39 0461 914400,+39 0461 914498,rosmini.trento@pec.provincia.tn.it,dir.rosmini.tn@scuole.provincia.tn.it,segr.rosmini.tn@scuole.provincia.tn.it,http://www.rosmini.eu,TNPM01000X,4,"

                
LICEO ""A. Rosmini"" - TRENTO
            
",/Scuole/LICEO-A.-Rosmini-TRENTO2,43
nan,nan,nan,Istituzione scolastica e formativa,TERESA PERITI,nan,"Via IV Novembre,
    
35 -
    
38023    
CLES",+39 0463 424049,+39 0463 424577,russell@pec.provincia.tn.it,dir.russell@scuole.provincia.tn.it,segr.russell@scuole.provincia.tn.it,http://www.liceorussell.eu,TNIS00600T,6,"

                
LICEO ""B. Russell"" - CLES
            
",/Scuole/LICEO-B.-Russell-CLES2,44
nan,nan,nan,Istituzione scolastica e formativa,MANUELA BROZ,nan,"Corso Rosmini,
    
61 -
    
38068    
ROVERETO",+39 0464 421223,+39 0464 433003,filzi@pec.provincia.tn.it,dir.isup.filzi@scuole.provincia.tn.it,segr.isup.filzi@scuole.provincia.tn.it,http://www.liceofilzi.it,TNPM02000E,2,"

                
LICEO ""F. Filzi"" - ROVERETO
            
",/Scuole/LICEO-F.-Filzi-ROVERETO,45
nan,nan,nan,Istituzione scolastica e formativa,PAOLA BARATTER,nan,"Via S Trinita,
    
38 -
    
38122    
TRENTO",+39 0461 980190,+39 0461 980747,prati@pec.provincia.tn.it,dir.liceoprati@scuole.provincia.tn.it,segr.liceoprati@scuole.provincia.tn.it,http://www.liceoprati.it,TNPC04000G,1,"

                
LICEO CLASSICO ""G. Prati"" - TRENTO
            
",/Scuole/LICEO-CLASSICO-G.-Prati-TRENTO,46
nan,nan,nan,Istituzione scolastica e formativa,ELENA RUGGIERI,nan,"Viale Bolognini,
    
88 -
    
38122    
TRENTO",+39 0461 913479,+39 0461 913367,galilei@pec.provincia.tn.it,dir.liceogalilei@scuole.provincia.tn.it,segr.liceogalilei@scuole.provincia.tn.it,http://www.lsgalilei.org/,TNPS01000V,2,"

                
LICEO SCIENTIFICO ""G. Galilei"" - TRENTO
            
",/Scuole/LICEO-SCIENTIFICO-G.-Galilei-TRENTO2,47
nan,nan,nan,Istituzione scolastica e formativa,TIZIANA ROSSI,nan,"Via Madruzzo,
    
24 -
    
38122    
TRENTO",+39 0461 984099,+39 0461 986257,davinci@pec.provincia.tn.it,dir.liceodavinci@scuole.provincia.tn.it,segr.liceodavinci@scuole.provincia.tn.it,http://www.liceodavincitn.it,TNPS02000D,2,"

                
LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO
            
",/Scuole/LICEO-SCIENTIFICO-L.-Da-Vinci-TRENTO2,48
nan,nan,FEDERICO CORRADINI,Istituzione scolastica e formativa,FEDERICO CORRADINI,nan,"Strada Giuseppe Soraperra - Pozza di Fassa,
    
6 -
    
38036    
SAN GIOVANNI DI FASSA - SEN JAN",+39 0462 763702,+39 0462 760001,scuolaladinadifassa@pec.provincia.tn.it,dir.scuolaladinadifassa@scuole.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,http://www.scuoladifassa.it,TNIC85000Q,10,"

                
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA
            
",/Scuole/SCUOLA-LADINA-DI-FASSA-SCOLA-LADINA-DE-FASCIA2,49
nan,nan,nan,Istituzione scolastica e formativa,GIOVANNI SCALFI,CLAUDIO MARCH,"Via Murialdo,
    
30 -
    
38045    
CIVEZZANO",+39 0461 857003,+39 0461 857284,oxford@pec.cooperazionetrentina.it,nan,info@istitutodecarneri.it,http://www.istitutodecarneri.it,nan,4,"

                
SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO
            
",/Scuole/SOCIETA-COOPERATIVA-A-R.L.-I.-DE-CARNERI-OXFORD-CIVEZZANO2,50
PAMELA TOMASELLI,nan,nan,Scuola dell'infanzia,nan,nan,"Via S Antonio,
    
22 -
    
38041    
ALBIANO",0461-689486,+39 0461 723325,albiano.presidente@fpsm.tn.it,nan,albiano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Albiano
            
",/Scuole/Scuola-dell-infanzia-di-Albiano2,51
SANDRA CIAPPI,nan,nan,Scuola dell'infanzia,nan,nan,"Via XXV Aprile,
    
5 -
    
38060    
ALDENO",0461-842597,nan,aldeno.presidente@fpsm.tn.it,nan,aldeno.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Aldeno
            
",/Scuole/Scuola-dell-infanzia-di-Aldeno2,52
ELENA RICCI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Paganella,
    
5 -
    
38010    
ANDALO",0461-585898,nan,andalo.presidente@fpsm.tn.it,nan,andalo.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Andalo
            
",/Scuole/Scuola-dell-infanzia-di-Andalo2,53
GIANNA ANGELI,nan,nan,Scuola dell'infanzia,nan,nan,"Viale Capitelli,
    
16 -
    
38062    
ARCO",0464-516369,nan,arco.segretario@fpsm.tn.it,nan,arco.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Arco
            
",/Scuole/Scuola-dell-infanzia-di-Arco2,54
FRANCESCA VARESCHI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Dante,
    
5 -
    
38063    
AVIO",0464-684102,nan,avio.presidente@fpsm.tn.it,nan,avio.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Avio
            
",/Scuole/Scuola-dell-infanzia-di-Avio2,55
MARIANGELA SIMONCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via di S Taddeo,
    
8 -
    
38056    
LEVICO TERME",0461-707295,nan,barco.presidente@fpsm.tn.it,nan,barco.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Barco di Levico
            
",/Scuole/Scuola-dell-infanzia-di-Barco-di-Levico2,56
GIANNA ANGELI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Vittoria,
    
1 -
    
38062    
ARCO",0464-516315,nan,bolognano.presidente@fpsm.tn.it,nan,bolognano.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Bolognano
            
",/Scuole/Scuola-dell-infanzia-di-Bolognano2,57
ALESSANDRA POMILIO,nan,nan,Scuola dell'infanzia,nan,nan,"Via Giusti,
    
46 -
    
38080    
BONDONE",0465-299996,nan,bondone.presidente@fpsm.tn.it,nan,bondone.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Bondone
            
",/Scuole/Scuola-dell-infanzia-di-Bondone2,58
ROBERTA MEDEGHINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Fedrigotti,
    
9 -
    
38068    
ROVERETO",0464-430541,nan,borgo.sacco.presidente@fpsm.tn.it,nan,borgo.sacco.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Borgo Sacco
            
",/Scuole/Scuola-dell-infanzia-di-Borgo-Sacco2,59
PAOLA SANGIORGI,nan,nan,Scuola dell'infanzia,nan,nan,"Piazza Romani,
    
8 -
    
38051    
BORGO VALSUGANA",0461-754771,nan,borgo.valsugana.presidente@fpsm.tn.it,nan,borgo.valsugana.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Borgo Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Borgo-Valsugana2,60
FRANCESCA VARESCHI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Mantova,
    
5 -
    
38060    
BRENTONICO",0464-395628,nan,brentonico.segretario@fpsm.tn.it,nan,brentonico.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Brentonico
            
",/Scuole/Scuola-dell-infanzia-di-Brentonico2,61
MARIANGELA SIMONCINI,nan,nan,Scuola dell'infanzia,nan,nan,"Via Cavour,
    
2 -
    
38050    
CALCERANICA AL LAGO",0461-723325,nan,calceranica.contabile@fpsm.tn.it,nan,calceranica.segretario@fpsm.tn.it,nan,nan,1,"

                
Scuola dell'infanzia di Calceranica
            
",/Scuole/Scuola-dell-infanzia-di-Calceranica2,62
