"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TN1M00400G
"COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO";;"Istituzione scolastica e formativa";Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Corso Bettini, 71 38068";ROVERETO;0464/406000;0464/406077;collegioarcivescovile@pec.it;dameinglesi@arcivescoviletrento.it;lia@arcivescoviletrento.it;www.arcivescoviletrento.it;
"COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO";"LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Corso Bettini, 71 38068";ROVERETO;0464/406000;0464/406077;collegioarcivescovile@pec.it;dameinglesi@arcivescoviletrento.it;lia@arcivescoviletrento.it;www.arcivescoviletrento.it;TNPL005006
"COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO";"SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Corso Bettini, 31 38068";ROVERETO;0464/406000;0464/406077;collegioarcivescovile@pec.it;dameinglesi@arcivescoviletrento.it;lia@arcivescoviletrento.it;www.arcivescoviletrento.it;TN1E006002
"COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO";"SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Corso Bettini, 31 38068";ROVERETO;0464/406000;0464/406077;collegioarcivescovile@pec.it;dameinglesi@arcivescoviletrento.it;lia@arcivescoviletrento.it;www.arcivescoviletrento.it;TN1M00200X
"COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS";;"Istituzione scolastica e formativa";Paritaria/equiparata;"MARCELLO SOTTOPIETRA";;;"Via Della Saluga, 7 38121";TRENTO;0461/080041;;cooperativasacrafamiglia@pec.it;segreteria@sacrafamigliatrento.it;segreteria@sacrafamigliatrento.it;www.sacrafamigliatrento.it;
"COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS";"SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO";;Paritaria/equiparata;"MARCELLO SOTTOPIETRA";;;"Via Della Saluga, 7 38121";TRENTO;0461/080041;;cooperativasacrafamiglia@pec.it;segreteria@sacrafamigliatrento.it;segreteria@sacrafamigliatrento.it;www.sacrafamigliatrento.it;TN1E005006
"Centro Formazione Professionale ""Centromoda Canossa"" - Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"MICHELE FILIPPINI";;"Via Grazioli, 2 38122";TRENTO;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;www.centromoda.tn.it;
"Centro Formazione Professionale ""Centromoda Canossa"" - Trento";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"MICHELE FILIPPINI";;"Via Grazioli, 2 38122";TRENTO;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;www.centromoda.tn.it;TNCF009001
"Centro Formazione Professionale ENAIP - Arco";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"DIEGO FREO";;"Via Gazzoletti, 8 38062";ARCO;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;www.enaiptrentino.it;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Varena";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via Mercato, 22 38030";"VILLE DI FIEMME";0462/341301;0461/493495;scuolainfanzia.varena@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 2";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Temanza, 4 38051";"BORGO VALSUGANA";"0461 491980";"0461 491976";circolo.coordinamento02@provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Bieno";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Ammiraglio Bettolo, 21 38050";BIENO;0461/596247;"0461 491976";scuolainfanzia.bieno@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Bosentino";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Alle Scuole - Bosentino, 12 38049";"ALTOPIANO DELLA VIGOLANA";0461/845133;"0461 491976";scuolainfanzia.bosentino@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Canal San Bovo ""Lausen""";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Localita Lausen, 13 38050";"CANAL SAN BOVO";0439/718979;"0461 491976";scuolainfanzia.canalsanbovo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Castello Tesino";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Venezia, 16/A 38053";"CASTELLO TESINO";0461/593023;"0461 491976";scuolainfanzia.castellotesino@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Centa San Nicolò";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via dei Campi - Centa San Nicolo, 14 38049";"ALTOPIANO DELLA VIGOLANA";0461/722120;"0461 491976";scuolainfanzia.centa@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Imer";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Nazionale, 71 38050";IMER;0439/67668;"0461 491976";scuolainfanzia.imer@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Levico Terme ""Taita Marcos""";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Monsignor Caproni, 1 38056";"LEVICO TERME";0461/706330;"0461 491976";scuolainfanzia.levico@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Novaledo";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Valle, 4 38050";NOVALEDO;0461/721100;"0461 491976";scuolainfanzia.novaledo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Tenna ""Il sentiero""";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Venezia, 1 38050";TENNA;0461/707635;"0461 491976";scuolainfanzia.tenna@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Vattaro";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Giardino - Vattaro, 7 38049";"ALTOPIANO DELLA VIGOLANA";0461/848066;"0461 491976";scuolainfanzia.vattaro@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Vigolo Vattaro ""Giardino dell'Amicizia""";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Al Castello - Vigolo Vattaro, 10 38049";"ALTOPIANO DELLA VIGOLANA";0461/848577;"0461 491976";scuolainfanzia.vigolovattaro@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Villa Agnedo ""Natale Alpino""";;"A carattere statale/provinciale";;;"CATERINA FRUET";"Via Dei Molini - Agnedo, 39 38059";"CASTEL IVANO";0461/762822;"0461 491976";scuolainfanzia.villagnedo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 4";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Gilli, 3 38121";TRENTO;0461/496954;0461/496950;circolo.coordinamento04@provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Cimone ""Mamma Teresa""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Frazione Petrolli, 37 38060";CIMONE;0461/855216;0461/496950;scuolainfanzia.cimone@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  ""Torrione""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Al Torrione, 10 38122";TRENTO;0461/232554;0461/496950;scuolainfanzia.torrione@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 4";"Scuola dell'Infanzia di Trento  Mattarello  ""Il Castello""";;"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Del Castel, 1/A 38123";TRENTO;0461/945095;0461/496950;scuolainfanzia.mattarello@scuole.provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Centro Formazione Professionale ENAIP - Cles";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"LUCA BRANZ";;"Via Mitterer, 10 38023";CLES;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;www.enaiptrentino.it;
"Centro Formazione Professionale ENAIP - Cles";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"LUCA BRANZ";;"Via Mitterer, 10 38023";CLES;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;www.enaiptrentino.it;TNFP251STA
"Centro Formazione Professionale ENAIP - Tesero";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"DINO MOSER";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;www.enaiptrentino.it;
"Centro Formazione Professionale ENAIP - Tesero";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"DINO MOSER";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;www.enaiptrentino.it;TNFP254STA
"Centro Formazione Professionale ENAIP - Tesero";"SETTORE SERVIZI";;Paritaria/equiparata;;"DINO MOSER";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;www.enaiptrentino.it;TNFP254STA
"Centro Formazione Professionale ENAIP - Tione di Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"EMILIO SALVATERRA";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;www.enaiptrentino.it;TNCF001001
"Centro Formazione Professionale ENAIP - Tione di Trento";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"EMILIO SALVATERRA";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;www.enaiptrentino.it;TNCF001001
"Centro Formazione Professionale ENAIP - Tione di Trento";"SETTORE SERVIZI";;Paritaria/equiparata;;"EMILIO SALVATERRA";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;www.enaiptrentino.it;TNCF001001
"Centro Formazione Professionale ENAIP - Varone di Riva del Garda";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"MASSIMO MALOSSINI";;"Rione Europa, 3 38066";"RIVA DEL GARDA";0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;www.enaiptrentino.it;TNCF007001
"Centro Formazione Professionale ENAIP - Varone di Riva del Garda";"SETTORE SERVIZI";;Paritaria/equiparata;;"MASSIMO MALOSSINI";;"Rione Europa, 3 38066";"RIVA DEL GARDA";0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;www.enaiptrentino.it;TNCF007001
"Centro Formazione Professionale ENAIP - Villazzano";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"PAOLA COCCIA";;"Via Asiago, 14 38123";TRENTO;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;www.enaiptrentino.it;TNCF008001
"Centro Formazione Professionale ENAIP - Villazzano";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"PAOLA COCCIA";;"Via Asiago, 14 38123";TRENTO;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;www.enaiptrentino.it;TNCF008001
"Centro Formazione Professionale Opera Armida Barelli - Levico";;"Istituzione scolastica e formativa";Paritaria/equiparata;"BERNARDO ZANONER";"CHIARA BERTOLINI";;"Viale Roma, 61 38056";"LEVICO TERME";0461/706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;www.operaarmidabarelli.org;
"Centro Formazione Professionale Opera Armida Barelli - Rovereto";;"Istituzione scolastica e formativa";Paritaria/equiparata;"BERNARDO ZANONER";"ANNA PRATI";;"Via Setaioli, 5 38068";ROVERETO;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;www.operaarmidabarelli.org;TNCF005001
"Centro Formazione Professionale Opera Armida Barelli - Rovereto";"SETTORE SERVIZI";;Paritaria/equiparata;"BERNARDO ZANONER";"ANNA PRATI";;"Via Setaioli, 5 38068";ROVERETO;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;www.operaarmidabarelli.org;TNCF005001
"Centro Formazione Professionale Pavoniano Artigianelli - Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;"ERIK GADOTTI";;;"Piazza Di Fiera, 4 38122";TRENTO;0461/270244;0461/270241;;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;TNCF004001
"Centro Formazione Professionale Pavoniano Artigianelli - Trento";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;"ERIK GADOTTI";;;"Piazza Di Fiera, 4 38122";TRENTO;0461/270244;0461/270241;;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;TNCF004001
"Centro Formazione Professionale UPT - Arco";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"CLAUDIO NICOLUSSI";;"Via Gazzoletti, 10 38062";ARCO;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;www.cfpupt.it/sede-di-arco;
"Centro Formazione Professionale UPT - Cles";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"WALTER IORI";;"Via D Agostin, 2 38023";CLES;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;www.cfp-upt.it;
"Centro Formazione Professionale UPT - Rovereto";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"WALTER IORI";;"Via Pasqui, 10 38068";ROVERETO;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;;
"Centro Formazione Professionale UPT - Tione di Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"PAOLO ZANLUCCHI";;"Via Roma, 15 38079";"TIONE DI TRENTO";0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;www.cfp-upt.it;
"Centro Formazione Professionale UPT - Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"WALTER IORI";;"Via Borsieri, 2 38122";TRENTO;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;www.cfp-upt.it;TNCF003001
"Centro Formazione Professionale UPT - Trento";"SETTORE SERVIZI SERALE";;Paritaria/equiparata;;"WALTER IORI";;"Via Borsieri, 2 38122";TRENTO;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;www.cfp-upt.it;
"Centro Formazione Professionale ENAIP - Primiero";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"FAUSTO ECCHER";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;www.enaiptrentino.it;
"Centro Formazione Professionale ENAIP - Primiero";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"FAUSTO ECCHER";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;www.enaiptrentino.it;TNFP253STA
"Centro Formazione Professionale ENAIP - Primiero";"SETTORE SERVIZI";;Paritaria/equiparata;;"FAUSTO ECCHER";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;www.enaiptrentino.it;TNFP253STA
"Circolo di coordinamento n. 1";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Viale Dante, 5 38057";"PERGINE VALSUGANA";0461/493491;0461/493495;circolo.coordinamento01@provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Baselga di Piné";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via del Municipio Vecchio, 2 38042";"BASELGA DI PINE'";0461/557640;0461/493495;scuolainfanzia.baselgadipine@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Capriana ""Maddalena Lazzeri""";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Piazza Scuole, 3 38030";CAPRIANA;0462/816377;0461/493495;scuolainfanzia.capriana@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Casatta";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Frazione Casatta, 54 38040";VALFLORIANA;0462/910249;0461/493495;scuolainfanzia.casatta@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Civezzano";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via Telvana, 4 38045";CIVEZZANO;0461/858481;0461/493495;scuolainfanzia.civezzano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Daiano";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via S Tommaso, 6 38030";"VILLE DI FIEMME";0462/230589;0461/493495;scuolainfanzia.daiano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Fierozzo ""Himblring""";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Maso Ronca, 9 38050";"FIEROZZO - VLARÖTZ";0461/540044;0461/493495;scuolainfanzia.fierozzo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Miola di Pinè";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via del Dos di Miola, 13 38042";"BASELGA DI PINE'";0461/557950;0461/493495;scuolainfanzia.miola@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Molina di Fiemme";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via Segherie, 64/C 38030";"CASTELLO-MOLINA DI FIEMME";0462/230696;0461/493495;scuolainfanzia.molina@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 1";"Scuola dell'Infanzia di Piazze";;"A carattere statale/provinciale";;;"GIULIANA BATTISTI";"Via Vittorino da Feltre, 24 38043";BEDOLLO;0461/556518;0461/493495;scuolainfanzia.bedollo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
