,tipo_instituto,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
11,Circolo di coordinamento pedagogico,"Via Temanza,
    
4 -
    
38051    
BORGO VALSUGANA",+39 0461 491980,+39 0461 491976,circolo.coordinamento02@provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,12,"

                
Circolo di coordinamento n. 2
            
",/Scuole/Circolo-di-coordinamento-n.-22,11
12,Circolo di coordinamento pedagogico,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496954,+39 0461 496950,circolo.coordinamento04@provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,6,"

                
Circolo di coordinamento n. 4
            
",/Scuole/Circolo-di-coordinamento-n.-44,12
13,Istituzione scolastica e formativa,"Via Mitterer,
    
10 -
    
38023    
CLES",+39 0463 421362,+39 0463 421606,cfp.cles@pec.it,,cfp.cles@enaip.tn.it,https://cles.enaiptrentino.it/,,1,"

                
Centro Formazione Professionale ENAIP - Cles
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Cles2,13
14,Istituzione scolastica e formativa,"Via Caltrezza,
    
13 -
    
38038    
TESERO",+39 0462 813133,+39 0462 813145,cfp.tesero@pec.it,,cfp.tesero@enaip.tn.it,https://tesero.enaiptrentino.it/,,2,"

                
Centro Formazione Professionale ENAIP - Tesero
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Tesero2,14
15,Istituzione scolastica e formativa,"Via Durone,
    
57 -
    
38079    
TIONE DI TRENTO",+39 0465 321316,+39 0465 322091,cfp.tione@pec.it,,cfp.tione@enaip.tn.it,https://tione.enaiptrentino.it/,TNCF001001,2,"

                
Centro Formazione Professionale ENAIP - Tione di Trento
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Tione-di-Trento2,15
16,Istituzione scolastica e formativa,"Rione Europa,
    
3 -
    
38066    
RIVA DEL GARDA",+39 0464 521300,+39 0464 521553,cfp.rivadelgarda@pec.it,,cfp.rivadelgarda@enaip.tn.it,https://rivadelgarda.enaiptrentino.it/,TNCF007001,1,"

                
Centro Formazione Professionale ENAIP - Varone di Riva del Garda
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Varone-di-Riva-del-Garda2,16
17,Istituzione scolastica e formativa,"Via Asiago,
    
14 -
    
38123    
TRENTO",+39 0461 920386,+39 0461 914935,cfp.villazzano@pec.it,,cfp.villazzano@enaip.tn.it,https://villazzano.enaiptrentino.it/,TNCF008001,2,"

                
Centro Formazione Professionale ENAIP - Villazzano
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Villazzano2,17
18,Istituzione scolastica e formativa,"Viale Roma,
    
61 -
    
38056    
LEVICO TERME",+39 0461 706145,+39 0461 701940,cfplevico@pec.operaarmidabarelli.org,,cfplevico@operaarmidabarelli.org,http://www.operaarmidabarelli.org,,1,"

                
Centro Formazione Professionale Opera Armida Barelli - Levico
            
",/Scuole/Centro-Formazione-Professionale-Opera-Armida-Barelli-Levico2,18
19,Istituzione scolastica e formativa,"Via Setaioli,
    
5 -
    
38068    
ROVERETO",+39 0464 433771,+39 0464 431711,cfprovereto@pec.operaarmidabarelli.org,,cfprovereto@operaarmidabarelli.org,http://www.operaarmidabarelli.org,TNCF005001,1,"

                
Centro Formazione Professionale Opera Armida Barelli - Rovereto
            
",/Scuole/Centro-Formazione-Professionale-Opera-Armida-Barelli-Rovereto2,19
20,Istituzione scolastica e formativa,"Piazza Di Fiera,
    
4 -
    
38122    
TRENTO",+39 0461 270244,+39 0461 270241,,,scuolagrafica@artigianelli.tn.it,http://www.artigianelli.tn.it/,TNCF004001,1,"

                
Centro Formazione Professionale Pavoniano Artigianelli - Trento
            
",/Scuole/Centro-Formazione-Professionale-Pavoniano-Artigianelli-Trento2,20
21,Istituzione scolastica e formativa,"Via Gazzoletti,
    
10 -
    
38062    
ARCO",+39 0464 556585,+39 0464 556599,cfp-upt@pec.it,,segreteria.arco@cfp-upt.it,http://www.cfpupt.it/sede-di-arco,,1,"

                
Centro Formazione Professionale UPT - Arco
            
",/Scuole/Centro-Formazione-Professionale-UPT-Arco2,21
22,Istituzione scolastica e formativa,"Via D Agostin,
    
2 -
    
38023    
CLES",+39 0463 422820,+39 0463 424409,cfp-upt@pec.it,,segreteria.cles@cfp-upt.it,http://www.cfp-upt.it,,1,"

                
Centro Formazione Professionale UPT - Cles
            
",/Scuole/Centro-Formazione-Professionale-UPT-Cles2,22
23,Istituzione scolastica e formativa,"Via Pasqui,
    
10 -
    
38068    
ROVERETO",+39 0464 630050,,cfp-upt@pec.it,,segreteria.rovereto@cfp-upt.it,,,1,"

                
Centro Formazione Professionale UPT - Rovereto
            
",/Scuole/Centro-Formazione-Professionale-UPT-Rovereto2,23
24,Istituzione scolastica e formativa,"Via Roma,
    
15 -
    
38079    
TIONE DI TRENTO",+39 0465 321889,+39 0465 324518,cfp-upt@pec.it,,segreteria.tione@cfp-upt.it,http://www.cfp-upt.it,,1,"

                
Centro Formazione Professionale UPT - Tione di Trento
            
",/Scuole/Centro-Formazione-Professionale-UPT-Tione-di-Trento2,24
25,Istituzione scolastica e formativa,"Via Borsieri,
    
2 -
    
38122    
TRENTO",+39 0461 239997,+39 0461 260235,cfp-upt@pec.it,,segreteria.sede@cfp-upt.it,http://www.cfp-upt.it,TNCF003001,2,"

                
Centro Formazione Professionale UPT - Trento
            
",/Scuole/Centro-Formazione-Professionale-UPT-Trento2,25
26,Istituzione scolastica e formativa,"Via Forno - Transacqua,
    
12 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",+39 0439 762057,+39 0439 762833,cfp.primiero@pec.it,,cfp.primiero@enaip.tn.it,https://primiero.enaiptrentino.it/,,2,"

                
Centro Formazione Professionale ENAIP - Primiero
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Primiero2,26
27,Scuola dell'infanzia,"Strada Giuseppe Soraperra - Pozza di Fassa,
    
4 -
    
38036    
SAN GIOVANNI DI FASSA - SEN JAN",0462-763194,,vigo.fassa.presidente@fpsm.tn.it,,vigo.fassa.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo di Fassa
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-di-Fassa2,27
28,Scuola dell'infanzia,"Piazza Guardi,
    
7 -
    
38010    
TON",0461-657897,,vigo.ton.segretario@fpsm.tn.it,,vigo.ton.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Vigo di Ton
            
",/Scuole/Scuola-dell-infanzia-di-Vigo-di-Ton2,28
29,Scuola dell'infanzia,"Via dei Carli,
    
16 -
    
38121    
TRENTO",0461-209045,,villamontagna.segretario@fpsm.tn.it,,villamontagna.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Villamontagna
            
",/Scuole/Scuola-dell-infanzia-di-Villamontagna2,29
30,Scuola dell'infanzia,"Via Giordano,
    
15 -
    
38123    
TRENTO",0461-920382,,villazzano.segretario@fpsm.tn.it,,villazzano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Villazzano
            
",/Scuole/Scuola-dell-infanzia-di-Villazzano2,30
31,Scuola dell'infanzia,"Via S Maria,
    
13 -
    
38060    
VOLANO",0464-411516,,volano.segretario@fpsm.tn.it,,volano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Volano
            
",/Scuole/Scuola-dell-infanzia-di-Volano2,31
32,Istituzione scolastica e formativa,"Via Perlasca,
    
4 -
    
38017    
MEZZOLOMBARDO",+39 0461 601122,+39 0461 601470,martini@pec.provincia.tn.it,dir.martini.mezzolombardo@scuole.provincia.tn.it,segr.martini.mezzolombardo@scuole.provincia.tn.it,http://www.martinomartini.eu,TNIS00300A,7,"

                
ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO
            
",/Scuole/ISTITUTO-DI-ISTRUZIONE-M.-Martini-MEZZOLOMBARDO2,32
33,Istituzione scolastica e formativa,"Via Zambra,
    
3 -
    
38121    
TRENTO",+39 0461 824422,+39 0461 824345,vittoria@pec.provincia.tn.it,dir.istitutodellearti@scuole.provincia.tn.it,info@istitutodellearti.tn.it,https://www.istitutodellearti.tn.it,TNSD02000X,3,"

                
LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""
            
",/Scuole/LICEO-DELLE-ARTI-DI-TRENTO-E-ROVERETO-Vittoria-Bonporti-Depero,33
34,Istituzione scolastica e formativa,"Piazza S Teresa Verzeri,
    
4 -
    
38122    
TRENTO",+39 0461 981465,+39 0461 982734,,,istitutocomprensivo@istitutosacrocuore.it,http://www.istitutosacrocuore.it,,6,"

                
ISTITUTO SACRO CUORE - TRENTO
            
",/Scuole/ISTITUTO-SACRO-CUORE-TRENTO2,34
35,Istituzione scolastica e formativa,"Via Barbacovi,
    
22 -
    
38122    
TRENTO",+39 0461 885555,+39 0461 981972,sdbtrento@pcert.postecert.it,,segreteria@sdbtrento.it,http://www.sdbtrento.it,,1,"

                
ISTITUTO SALESIANO MARIA AUSILIATRICE - TRENTO
            
",/Scuole/ISTITUTO-SALESIANO-MARIA-AUSILIATRICE-TRENTO2,35
36,Istituzione scolastica e formativa,"Via Molaren,
    
29 -
    
38050    
MEZZANO",+39 0439 762019,+39 0439 762664,salesianimezzano@pec.it,,segreteria@sdbmezzano.it,http://www.salesianimezzano.it,,2,"

                
ISTITUTO SALESIANO S. CROCE - MEZZANO
            
",/Scuole/ISTITUTO-SALESIANO-S.-CROCE-MEZZANO,36
37,Istituzione scolastica e formativa,"Via Brigata Acqui,
    
19 -
    
38122    
TRENTO",0461239955,0461230175,tambosibattisti@pec.provincia.tn.it,dir.tambositn@scuole.provincia.tn.it,segr.tambositn@scuole.provincia.tn.it,http://tambosi.tn.it,TNTD18000T,2,"

                
ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-A.-Tambosi-TRENTO,37
38,Istituzione scolastica e formativa,"Via IV Novembre,
    
35 -
    
38023    
CLES",+39 0463 421695,+39 0463 421477,pilati@pec.provincia.tn.it,dir.itetpilati@scuole.provincia.tn.it,segr.itetpilati@scuole.provincia.tn.it,http://www.istitutopilati.it,TNTD100001,5,"

                
ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-E-TECNOLOGICO-C.A.-Pilati-CLES2,38
39,Istituzione scolastica e formativa,"Via Del Teatro,
    
4 -
    
38068    
ROVERETO",+39 0464 436100,+39 0464 434116,fontana@pec.provincia.tn.it,dir.fontana@scuole.provincia.tn.it,segr.fontana@scuole.provincia.tn.it,http://www.fgfontana.eu,TNTD020009,4,"

                
ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO
            
",/Scuole/ISTITUTO-TECNICO-ECONOMICO-E-TECNOLOGICO-F.-e-G.-Fontana-ROVERETO,39
40,Istituzione scolastica e formativa,"Via Monti,
    
1 -
    
38068    
ROVERETO",+39 0464 411400,+39 0464 419130,marconi@pec.provincia.tn.it,dir.itimarconi@scuole.provincia.tn.it,segr.itimarconi@scuole.provincia.tn.it,http://www.marconirovereto.it,TNTF02000G,2,"

                
ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO
            
",/Scuole/ISTITUTO-TECNICO-TECNOLOGICO-G.-Marconi-ROVERETO2,40
41,Istituzione scolastica e formativa,"Via Brigata Acqui,
    
15 -
    
38122    
TRENTO",+39 0461 216811,+39 0461 984216,buonarroti@pec.provincia.tn.it,dir.buonarroti@scuole.provincia.tn.it,istituto.tecnico@buonarroti.tn.it,http://www.buonarroti.tn.it/,TNIS013001,2,"

                
ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO
            
",/Scuole/ISTITUTO-TECNICO-TECNOLOGICO-M.-Buonarroti-TRENTO,41
42,Istituzione scolastica e formativa,"Corso Bettini,
    
86 -
    
38068    
ROVERETO",+39 0464 437700,+39 0464 420025,rosmini.rovereto@pec.provincia.tn.it,dir.liceorosmini@scuole.provincia.tn.it,segr.liceorosmini@scuole.provincia.tn.it,http://www.liceorosmini.eu,TNPC02000A,4,"

                
LICEO ""A. Rosmini"" - ROVERETO
            
",/Scuole/LICEO-A.-Rosmini-ROVERETO2,42
43,Istituzione scolastica e formativa,"Via Malfatti,
    
2 -
    
38122    
TRENTO",+39 0461 914400,+39 0461 914498,rosmini.trento@pec.provincia.tn.it,dir.rosmini.tn@scuole.provincia.tn.it,segr.rosmini.tn@scuole.provincia.tn.it,http://www.rosmini.eu,TNPM01000X,4,"

                
LICEO ""A. Rosmini"" - TRENTO
            
",/Scuole/LICEO-A.-Rosmini-TRENTO2,43
44,Istituzione scolastica e formativa,"Via IV Novembre,
    
35 -
    
38023    
CLES",+39 0463 424049,+39 0463 424577,russell@pec.provincia.tn.it,dir.russell@scuole.provincia.tn.it,segr.russell@scuole.provincia.tn.it,http://www.liceorussell.eu,TNIS00600T,6,"

                
LICEO ""B. Russell"" - CLES
            
",/Scuole/LICEO-B.-Russell-CLES2,44
45,Istituzione scolastica e formativa,"Corso Rosmini,
    
61 -
    
38068    
ROVERETO",+39 0464 421223,+39 0464 433003,filzi@pec.provincia.tn.it,dir.isup.filzi@scuole.provincia.tn.it,segr.isup.filzi@scuole.provincia.tn.it,http://www.liceofilzi.it,TNPM02000E,2,"

                
LICEO ""F. Filzi"" - ROVERETO
            
",/Scuole/LICEO-F.-Filzi-ROVERETO,45
46,Istituzione scolastica e formativa,"Via S Trinita,
    
38 -
    
38122    
TRENTO",+39 0461 980190,+39 0461 980747,prati@pec.provincia.tn.it,dir.liceoprati@scuole.provincia.tn.it,segr.liceoprati@scuole.provincia.tn.it,http://www.liceoprati.it,TNPC04000G,1,"

                
LICEO CLASSICO ""G. Prati"" - TRENTO
            
",/Scuole/LICEO-CLASSICO-G.-Prati-TRENTO,46
47,Istituzione scolastica e formativa,"Viale Bolognini,
    
88 -
    
38122    
TRENTO",+39 0461 913479,+39 0461 913367,galilei@pec.provincia.tn.it,dir.liceogalilei@scuole.provincia.tn.it,segr.liceogalilei@scuole.provincia.tn.it,http://www.lsgalilei.org/,TNPS01000V,2,"

                
LICEO SCIENTIFICO ""G. Galilei"" - TRENTO
            
",/Scuole/LICEO-SCIENTIFICO-G.-Galilei-TRENTO2,47
48,Istituzione scolastica e formativa,"Via Madruzzo,
    
24 -
    
38122    
TRENTO",+39 0461 984099,+39 0461 986257,davinci@pec.provincia.tn.it,dir.liceodavinci@scuole.provincia.tn.it,segr.liceodavinci@scuole.provincia.tn.it,http://www.liceodavincitn.it,TNPS02000D,2,"

                
LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO
            
",/Scuole/LICEO-SCIENTIFICO-L.-Da-Vinci-TRENTO2,48
49,Istituzione scolastica e formativa,"Strada Giuseppe Soraperra - Pozza di Fassa,
    
6 -
    
38036    
SAN GIOVANNI DI FASSA - SEN JAN",+39 0462 763702,+39 0462 760001,scuolaladinadifassa@pec.provincia.tn.it,dir.scuolaladinadifassa@scuole.provincia.tn.it,segr.scuolaladinadifassa@scuole.provincia.tn.it,http://www.scuoladifassa.it,TNIC85000Q,10,"

                
SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA
            
",/Scuole/SCUOLA-LADINA-DI-FASSA-SCOLA-LADINA-DE-FASCIA2,49
50,Istituzione scolastica e formativa,"Via Murialdo,
    
30 -
    
38045    
CIVEZZANO",+39 0461 857003,+39 0461 857284,oxford@pec.cooperazionetrentina.it,,info@istitutodecarneri.it,http://www.istitutodecarneri.it,,4,"

                
SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO
            
",/Scuole/SOCIETA-COOPERATIVA-A-R.L.-I.-DE-CARNERI-OXFORD-CIVEZZANO2,50
51,Scuola dell'infanzia,"Via S Antonio,
    
22 -
    
38041    
ALBIANO",0461-689486,+39 0461 723325,albiano.presidente@fpsm.tn.it,,albiano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Albiano
            
",/Scuole/Scuola-dell-infanzia-di-Albiano2,51
52,Scuola dell'infanzia,"Via XXV Aprile,
    
5 -
    
38060    
ALDENO",0461-842597,,aldeno.presidente@fpsm.tn.it,,aldeno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Aldeno
            
",/Scuole/Scuola-dell-infanzia-di-Aldeno2,52
53,Scuola dell'infanzia,"Via Paganella,
    
5 -
    
38010    
ANDALO",0461-585898,,andalo.presidente@fpsm.tn.it,,andalo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Andalo
            
",/Scuole/Scuola-dell-infanzia-di-Andalo2,53
54,Scuola dell'infanzia,"Viale Capitelli,
    
16 -
    
38062    
ARCO",0464-516369,,arco.segretario@fpsm.tn.it,,arco.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Arco
            
",/Scuole/Scuola-dell-infanzia-di-Arco2,54
55,Scuola dell'infanzia,"Via Dante,
    
5 -
    
38063    
AVIO",0464-684102,,avio.presidente@fpsm.tn.it,,avio.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Avio
            
",/Scuole/Scuola-dell-infanzia-di-Avio2,55
56,Scuola dell'infanzia,"Via di S Taddeo,
    
8 -
    
38056    
LEVICO TERME",0461-707295,,barco.presidente@fpsm.tn.it,,barco.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Barco di Levico
            
",/Scuole/Scuola-dell-infanzia-di-Barco-di-Levico2,56
57,Scuola dell'infanzia,"Piazza Vittoria,
    
1 -
    
38062    
ARCO",0464-516315,,bolognano.presidente@fpsm.tn.it,,bolognano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Bolognano
            
",/Scuole/Scuola-dell-infanzia-di-Bolognano2,57
58,Scuola dell'infanzia,"Via Giusti,
    
46 -
    
38080    
BONDONE",0465-299996,,bondone.presidente@fpsm.tn.it,,bondone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Bondone
            
",/Scuole/Scuola-dell-infanzia-di-Bondone2,58
59,Scuola dell'infanzia,"Via Fedrigotti,
    
9 -
    
38068    
ROVERETO",0464-430541,,borgo.sacco.presidente@fpsm.tn.it,,borgo.sacco.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Borgo Sacco
            
",/Scuole/Scuola-dell-infanzia-di-Borgo-Sacco2,59
60,Scuola dell'infanzia,"Piazza Romani,
    
8 -
    
38051    
BORGO VALSUGANA",0461-754771,,borgo.valsugana.presidente@fpsm.tn.it,,borgo.valsugana.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Borgo Valsugana
            
",/Scuole/Scuola-dell-infanzia-di-Borgo-Valsugana2,60
61,Scuola dell'infanzia,"Via Mantova,
    
5 -
    
38060    
BRENTONICO",0464-395628,,brentonico.segretario@fpsm.tn.it,,brentonico.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Brentonico
            
",/Scuole/Scuola-dell-infanzia-di-Brentonico2,61
62,Scuola dell'infanzia,"Via Cavour,
    
2 -
    
38050    
CALCERANICA AL LAGO",0461-723325,,calceranica.contabile@fpsm.tn.it,,calceranica.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Calceranica
            
",/Scuole/Scuola-dell-infanzia-di-Calceranica2,62
63,Scuola dell'infanzia,"Via Asilo,
    
1 -
    
38052    
CALDONAZZO",0461-724658,,caldonazzo.presidente@fpsm.tn.it,,caldonazzo.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Caldonazzo
            
",/Scuole/Scuola-dell-infanzia-di-Caldonazzo2,63
64,Scuola dell'infanzia,"Strèda sènc Felip e Giacum,
    
9 -
    
38031    
CAMPITELLO DI FASSA - CIAMPEDEL",0462-750470,,campitello.presidente@fpsm.tn.it,,campitello.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Campitello di Fassa
            
",/Scuole/Scuola-dell-infanzia-di-Campitello-di-Fassa2,64
65,Scuola dell'infanzia,"Via S Maurizio,
    
3 -
    
38010    
CAMPODENNO",0461-655166,,campodenno.presidente@fpsm.tn.it,,campodenno.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Campodenno
            
",/Scuole/Scuola-dell-infanzia-di-Campodenno2,65
66,Scuola dell'infanzia,"Via Giovanelli,
    
40 -
    
38033    
VILLE DI FIEMME",0462-341759,,carano.presidente@fpsm.tn.it,,carano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Carano
            
",/Scuole/Scuola-dell-infanzia-di-Carano2,66
67,Scuola dell'infanzia,"Via IV Novembre,
    
34/A -
    
38010    
TERRE D'ADIGE",0461-870656,,nave.presidente@fpsm.tn.it,,nave.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Nave San Rocco
            
",/Scuole/Scuola-dell-infanzia-di-Nave-San-Rocco2,67
68,Scuola dell'infanzia,"Via Baroni Del Moll,
    
2 -
    
38060    
NOMI",0464-835294,,nomi.segretario@fpsm.tn.it,,nomi.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Nomi
            
",/Scuole/Scuola-dell-infanzia-di-Nomi2,68
69,Scuola dell'infanzia,"Via XX Settembre,
    
5 -
    
38050    
OSPEDALETTO",+39 347 0362437,,ospedaletto.presidente@fpsm.tn.it,,ospedaletto.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ospedaletto
            
",/Scuole/Scuola-dell-infanzia-di-Ospedaletto2,69
70,Scuola dell'infanzia,"Via alle Cime - Padergnone,
    
14 -
    
38070    
VALLELAGHI",0461-864358,,padergnone.presidente@fpsm.tn.it,,padergnone.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Padergnone
            
",/Scuole/Scuola-dell-infanzia-di-Padergnone2,70
71,Scuola dell'infanzia,"Piazza Chiesa,
    
6 -
    
38030    
PANCHIA'",0462-814141,,panchia.presidente@fpsm.tn.it,,panchia.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Panchià
            
",/Scuole/Scuola-dell-infanzia-di-Panchia2,71
72,Scuola dell'infanzia,"Via S Antonio,
    
1 -
    
38060    
VILLA LAGARINA",0464-412151,,pedersano.presidente@fpsm.tn.it,,pedersano.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pedersano
            
",/Scuole/Scuola-dell-infanzia-di-Pedersano2,72
73,Scuola dell'infanzia,"Piazza Mercato,
    
11 -
    
38074    
DRO",0464-507142,,pietramurata.presidente@fpsm.tn.it,,pietramurata.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Pietramurata
            
",/Scuole/Scuola-dell-infanzia-di-Pietramurata2,73
