,Unnamed: 0,school_type,address,phone_number,fax_number,school_email,management_email,office_email,website,miur_code,school_name,school_id,institute_id,institute_id_number,municipalityISTITUTO
13,13,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO,29786,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo
14,14,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,29787,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
15,15,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO LINGUISTICO,29788,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
16,16,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO SCIENTIFICO,29789,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
17,17,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,LICEO DELLE SCIENZE UMANE,65579,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
18,18,Provincial,"Via Calzolari - Localita Fontana, 2",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNEE861018,SCUOLA PRIMARIA BRENTONICO,63289,/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2,Brentonico
19,19,Provincial,"Via Calzolari - Localita Fontana, 2",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNMM861017,SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO,65577,/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2,Brentonico
20,20,Autonomous Manegement,"Via Conci, 86",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,TN1E00900D,ASSOCIAZIONE R. STEINER - PRIMARIA,29225,/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3,Trento
21,21,Autonomous Manegement,"Via Conci, 86",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,TN1M007003,ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO,29226,/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3,Trento
22,22,Autonomous Manegement,"Via Stazione Mori, 10",+39 0464 434899,,,,,,,ASILO COLLE FIORITO,29228,/Scuole/ASSOCIAZIONE-RUDOLF-STEINER-PER-LA-PEDAGOGIA-APS-ROVERETO,4,Rovereto
23,23,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,29230,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
24,24,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNTD37500F,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,29231,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
25,25,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPC01500V,LICEO CLASSICO ARCIVESCOVILE - TRENTO,29232,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
26,26,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPL085003,LICEO LINGUISTICO ARCIVESCOVILE - TRENTO,29233,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
27,27,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPS015002,LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO,29234,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
28,28,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1E00100V,SCUOLA PRIMARIA ARCIVESCOVILE TRENTO,29235,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
29,29,Autonomous Manegement,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1M00400G,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO,29236,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento
30,30,Autonomous Manegement,"Corso Bettini, 71",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TNPL005006,LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO,29238,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto
31,31,Autonomous Manegement,"Corso Bettini, 31",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1E006002,SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO,29239,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto
32,32,Autonomous Manegement,"Corso Bettini, 31",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,TN1M00200X,SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO,29240,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto
33,33,Autonomous Manegement,"Via Della Saluga, 7",+39 0461 080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,TN1E005006,SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO,29245,/Scuole/COOPERATIVA-SOCIALE-SACRA-FAMIGLIA-ONLUS2,7,Trento
34,34,Autonomous Manegement,"Via Grazioli, 2",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,TNCF009001,SETTORE INDUSTRIA E ARTIGIANATO,29247,/Scuole/Centro-Formazione-Professionale-Centromoda-Canossa-Trento3,8,Trento
35,35,Autonomous Manegement,"Via Gazzoletti, 8",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,,cfp.arco@enaip.tn.it,https://arco.enaiptrentino.it,TNFP249STA,SETTORE INDUSTRIA E ARTIGIANATO,29249,/Scuole/Centro-Formazione-Professionale-ENAIP-Arco2,9,Arco
36,36,Provincial,"Via del Municipio Vecchio, 2",+39 0461 557640,+39 0461 493495,scuolainfanzia.baselgadipine@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BASELGA DI PINÉ,29289,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè
37,37,Provincial,"Piazza Scuole, 3",+39 0462 816377,+39 0461 493495,scuolainfanzia.capriana@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CAPRIANA ""MADDALENA LAZZERI""",29290,/Scuole/Circolo-di-coordinamento-n.-15,10,Capriana
38,38,Provincial,"Frazione Casatta, 54",+39 0462 910249,+39 0461 493495,scuolainfanzia.casatta@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CASATTA,29291,/Scuole/Circolo-di-coordinamento-n.-15,10,Valfloriana
39,39,Provincial,"Via Telvana, 4",+39 0461 858481,+39 0461 493495,scuolainfanzia.civezzano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CIVEZZANO,29292,/Scuole/Circolo-di-coordinamento-n.-15,10,Civezzano
40,40,Provincial,"Via S Tommaso, 6",+39 0462 230589,+39 0461 493495,scuolainfanzia.daiano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI DAIANO,29293,/Scuole/Circolo-di-coordinamento-n.-15,10,Ville di Fiemme
41,41,Provincial,"Maso Ronca, 9",+39 0461 540044,+39 0461 493495,scuolainfanzia.fierozzo@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI FIEROZZO ""HIMBLRING""",29294,/Scuole/Circolo-di-coordinamento-n.-15,10,Fierozzo
42,42,Provincial,"Via del Dos di Miola, 13",+39 0461 557950,+39 0461 493495,scuolainfanzia.miola@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI MIOLA DI PINÈ,29295,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè
43,43,Provincial,"Via Segherie, 64/C",+39 0462 230696,+39 0461 493495,scuolainfanzia.molina@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI MOLINA DI FIEMME,29296,/Scuole/Circolo-di-coordinamento-n.-15,10,Castello-Molina di Fiemme
44,44,Provincial,"Via Vittorino da Feltre, 24",+39 0461 556518,+39 0461 493495,scuolainfanzia.bedollo@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI PIAZZE,29297,/Scuole/Circolo-di-coordinamento-n.-15,10,Bedollo
45,45,Provincial,"Frazione Rizzolaga, 94",+39 0461 557629,+39 0461 493495,scuolainfanzia.rizzolaga@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI RIZZOLAGA DI PINÈ ""RAGGIO DI SOLE""",29298,/Scuole/Circolo-di-coordinamento-n.-15,10,Baselga di Pinè
46,46,Provincial,"Localita Pintarei, 9",+39 0461 551163,+39 0461 493495,scuolainfanzia.santorsola@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI S. ORSOLA ""IL GIROTONDO""",29299,/Scuole/Circolo-di-coordinamento-n.-15,10,Sant'Orsola Terme
47,47,Provincial,"Via Alla Villa Wolf - Rovere, 4",+39 0461 858736,+39 0461 493495,scuolainfanzia.seregnano@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI SEREGNANO ""ARCOBALENO""",29300,/Scuole/Circolo-di-coordinamento-n.-15,10,Civezzano
48,48,Provincial,"Via Mercato, 22",+39 0462 341301,+39 0461 493495,scuolainfanzia.varena@scuole.provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI VARENA,29301,/Scuole/Circolo-di-coordinamento-n.-15,10,Ville di Fiemme
49,49,Provincial,"Via Ammiraglio Bettolo, 21",+39 0461 596247,+39 0461 491976,scuolainfanzia.bieno@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BIENO,29327,/Scuole/Circolo-di-coordinamento-n.-22,11,Bieno
50,50,Provincial,"Via Alle Scuole - Bosentino, 12",+39 0461 845133,+39 0461 491976,scuolainfanzia.bosentino@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI BOSENTINO,29328,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana
51,51,Provincial,"Localita Lausen, 13",+39 0439 718979,+39 0461 491976,scuolainfanzia.canalsanbovo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CANAL SAN BOVO ""LAUSEN""",29329,/Scuole/Circolo-di-coordinamento-n.-22,11,Canal San Bovo
52,52,Provincial,"Via Venezia, 16/A",+39 0461 593023,+39 0461 491976,scuolainfanzia.castellotesino@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CASTELLO TESINO,29330,/Scuole/Circolo-di-coordinamento-n.-22,11,Castello Tesino
53,53,Provincial,"Via dei Campi - Centa San Nicolo, 14",+39 0461 722120,+39 0461 491976,scuolainfanzia.centa@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI CENTA SAN NICOLÒ,29331,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana
54,54,Provincial,"Via Nazionale, 71",+39 0439 67668,+39 0461 491976,scuolainfanzia.imer@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI IMER,29332,/Scuole/Circolo-di-coordinamento-n.-22,11,Imer
55,55,Provincial,"Via Monsignor Caproni, 1",+39 0461 706330,+39 0461 491976,scuolainfanzia.levico@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI LEVICO TERME ""TAITA MARCOS""",29333,/Scuole/Circolo-di-coordinamento-n.-22,11,Levico Terme
56,56,Provincial,"Via Valle, 4",+39 0461 721100,+39 0461 491976,scuolainfanzia.novaledo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI NOVALEDO,29334,/Scuole/Circolo-di-coordinamento-n.-22,11,Novaledo
57,57,Provincial,"Via Venezia, 1",+39 0461 707635,+39 0461 491976,scuolainfanzia.tenna@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TENNA ""IL SENTIERO""",29335,/Scuole/Circolo-di-coordinamento-n.-22,11,Tenna
58,58,Provincial,"Via Giardino - Vattaro, 7",+39 0461 848066,+39 0461 491976,scuolainfanzia.vattaro@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,SCUOLA DELL'INFANZIA DI VATTARO,29336,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana
59,59,Provincial,"Via Al Castello - Vigolo Vattaro, 10",+39 0461 848577,+39 0461 491976,scuolainfanzia.vigolovattaro@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI VIGOLO VATTARO ""GIARDINO DELL'AMICIZIA""",29337,/Scuole/Circolo-di-coordinamento-n.-22,11,Altopiano della Vigolana
60,60,Provincial,"Via Dei Molini - Agnedo, 39",+39 0461 762822,+39 0461 491976,scuolainfanzia.villagnedo@scuole.provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI VILLA AGNEDO ""NATALE ALPINO""",29338,/Scuole/Circolo-di-coordinamento-n.-22,11,Castel Ivano
61,61,Provincial,"Frazione Petrolli, 37",+39 0461 855216,+39 0461 496950,scuolainfanzia.cimone@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI CIMONE ""MAMMA TERESA""",29349,/Scuole/Circolo-di-coordinamento-n.-44,12,Cimone
62,62,Provincial,"Via Al Torrione, 10",+39 0461 232554,+39 0461 496950,scuolainfanzia.torrione@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO ""TORRIONE""",29350,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento
63,63,Provincial,"Via Del Castel, 1/A",+39 0461 945095,+39 0461 496950,scuolainfanzia.mattarello@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO MATTARELLO ""IL CASTELLO""",29351,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento
64,64,Provincial,"Via Per Belvedere, 8",+39 0461 922216,+39 0461 496950,scuolainfanzia.ravina@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO RAVINA ""GIROTONDO""",29352,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento
65,65,Provincial,"Via Delle Prede, 2",+39 0461 349153,+39 0461 496950,scuolainfanzia.romagnano@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO ROMAGNANO ""GLI GNOMI DEL BOSCO""",29353,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento
66,66,Provincial,"Via Giusti, 56",+39 0461 930042,+39 0461 496950,scuolainfanzia.sangiuseppe@scuole.provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA DELL'INFANZIA DI TRENTO S.GIUSEPPE ""MASO GINOCCHIO - COLLODI""",29354,/Scuole/Circolo-di-coordinamento-n.-44,12,Trento
67,67,Autonomous Manegement,"Via Mitterer, 10",+39 0463 421362,+39 0463 421606,cfp.cles@pec.it,,cfp.cles@enaip.tn.it,https://cles.enaiptrentino.it/,TNFP251STA,SETTORE INDUSTRIA E ARTIGIANATO,29254,/Scuole/Centro-Formazione-Professionale-ENAIP-Cles2,13,Cles
68,68,Autonomous Manegement,"Via Caltrezza, 13",+39 0462 813133,+39 0462 813145,cfp.tesero@pec.it,,cfp.tesero@enaip.tn.it,https://tesero.enaiptrentino.it/,TNFP254STA,SETTORE INDUSTRIA E ARTIGIANATO,29258,/Scuole/Centro-Formazione-Professionale-ENAIP-Tesero2,14,Tesero
69,69,Autonomous Manegement,"Via Caltrezza, 13",+39 0462 813133,+39 0462 813145,cfp.tesero@pec.it,,cfp.tesero@enaip.tn.it,https://tesero.enaiptrentino.it/,TNFP254STA,SETTORE SERVIZI,29259,/Scuole/Centro-Formazione-Professionale-ENAIP-Tesero2,14,Tesero
70,70,Autonomous Manegement,"Via Durone, 57",+39 0465 321316,+39 0465 322091,cfp.tione@pec.it,,cfp.tione@enaip.tn.it,https://tione.enaiptrentino.it/,TNCF001001,SETTORE INDUSTRIA E ARTIGIANATO,29261,/Scuole/Centro-Formazione-Professionale-ENAIP-Tione-di-Trento2,15,Tione di Trento
71,71,Autonomous Manegement,"Via Durone, 57",+39 0465 321316,+39 0465 322091,cfp.tione@pec.it,,cfp.tione@enaip.tn.it,https://tione.enaiptrentino.it/,TNCF001001,SETTORE SERVIZI,29262,/Scuole/Centro-Formazione-Professionale-ENAIP-Tione-di-Trento2,15,Tione di Trento
72,72,Autonomous Manegement,"Rione Europa, 3",+39 0464 521300,+39 0464 521553,cfp.rivadelgarda@pec.it,,cfp.rivadelgarda@enaip.tn.it,https://rivadelgarda.enaiptrentino.it/,TNCF007001,SETTORE SERVIZI,29264,/Scuole/Centro-Formazione-Professionale-ENAIP-Varone-di-Riva-del-Garda2,16,Riva del Garda
73,73,Autonomous Manegement,"Via Asiago, 14",+39 0461 920386,+39 0461 914935,cfp.villazzano@pec.it,,cfp.villazzano@enaip.tn.it,https://villazzano.enaiptrentino.it/,TNCF008001,SETTORE INDUSTRIA E ARTIGIANATO,29266,/Scuole/Centro-Formazione-Professionale-ENAIP-Villazzano2,17,Trento
74,74,Autonomous Manegement,"Via Asiago, 14",+39 0461 920386,+39 0461 914935,cfp.villazzano@pec.it,,cfp.villazzano@enaip.tn.it,https://villazzano.enaiptrentino.it/,,SETTORE INDUSTRIA E ARTIGIANATO SERALE,29267,/Scuole/Centro-Formazione-Professionale-ENAIP-Villazzano2,17,Trento
